name,phone,website,city,state,address,rating,reviews,niche,business_summary,personalization_angle,has_emergency_service,is_family_owned,targets_residential,targets_commercial
"Mabry Brothers, Inc",(239) 482-1122,https://mabrybrothers.com/,"Cape Coral, FL",florida,"5731 Halifax Ave, Fort Myers, FL 33912, USA",4.8,218,electricians,,,,,,
FLIP THE SWITCH ELECTRICAL CONTRACTORS LLC,(239) 867-8532,,"Cape Coral, FL",florida,"2313 SE 5th Pl, Cape Coral, FL 33990, USA",4.9,164,electricians,,,,,,
Berger Brothers Electrical Service,(754) 465-7153,,"Fort Lauderdale, FL",florida,"3847 N Andrews Ave #93C, Fort Lauderdale, FL 33309, USA",4.8,127,electricians,,,,,,
24/7 Electrician LLC,(954) 602-0050,https://247electrician.us/,"Fort Lauderdale, FL",florida,"1315 N 47th Ave, Hollywood, FL 33021, USA",5.0,41,electricians,,,,,,
1st Electricians,(954) 355-7542,,"Fort Lauderdale, FL",florida,"3400 Davie Rd, Davie, FL 33314, USA",5.0,20,electricians,,,,,,
Mr. Electric Inc,(954) 792-6710,https://mrelec.com/,"Fort Lauderdale, FL",florida,"4053 Peters Rd, Plantation, FL 33317, USA",4.7,73,electricians,,,,,,
A Plus Electrical Technologies Inc.,(954) 548-6469,https://www.apluselectricaltech.com/,"Pembroke Pines, FL",florida,"500 SW 145th Ave Unit# 101, Pembroke Pines, FL 33027, USA",5.0,89,electricians,,,,,,
Code One Electric LLC,(888) 320-2942,https://www.electrician3.com/service-areas/electrician-davie-fl,"Pembroke Pines, FL",florida,"4111 SW 47th Ave, Davie, FL 33314, USA",4.6,21,electricians,,,,,,
Meisner Electric,(954) 738-7814,https://flash-electrician-service.com/Miramar,"Pembroke Pines, FL",florida,"7429 Riviera Blvd, Miramar, FL 33023, USA",5.0,25,electricians,,,,,,
"Einstein Electric, Inc",(954) 548-1210,https://einsteinelectricfl.com/,"Coral Springs, FL",florida,"4630 NW 30th St, Coconut Creek, FL 33063, USA",5.0,103,electricians,,,,,,
EMB Home Services - Electrical Maintenance in Broward,(786) 308-0692,http://www.embhomeservices.com/,"Coral Springs, FL",florida,"503 Lakeview Dr, Coral Springs, FL 33071, USA",5.0,109,electricians,,,,,,
Vision Electric Inc,(954) 274-4513,http://visionelectricfl.com/,"Coral Springs, FL",florida,"3800 Inverrary Blvd Suite 407i, Lauderhill, FL 33319, USA",4.9,70,electricians,,,,,,
Perfect Electric,(954) 772-7049,https://www.perfectelectricrepairs.com/,"Coral Springs, FL",florida,"2150 NW 9th Ave, Fort Lauderdale, FL 33311, USA",4.3,46,electricians,,,,,,
Mister Sparky,(727) 219-9148,https://newportricheymistersparky.com/?utm_source=GBP&utm_medium=organic&utm_campaign=nprgbp,"Clearwater, FL",florida,"201 Douglas Rd E Ste 1, Oldsmar, FL 34677, USA",4.7,777,electricians,,,,,,
Switch Electric LLC,(800) 929-5035,,"Clearwater, FL",florida,"555 Frederica Ln, Dunedin, FL 34698, USA",4.0,28,electricians,,,,,,
Positricity,(727) 382-3793,https://www.positricity.com/,"Clearwater, FL",florida,"21959 US Hwy 19 N, Clearwater, FL 33765, USA",4.7,368,electricians,,,,,,
"EJM Electric, LLC",(772) 519-8196,https://ejmelectricllc.com/,"Palm Bay, FL",florida,"3816 MacFarlane St, Melbourne Beach, FL 32951, USA",5.0,53,electricians,,,,,,
Mister Sparky,(321) 261-0627,https://melbournemistersparky.com/,"Palm Bay, FL",florida,"440 Stan Dr #101, Melbourne, FL 32904, USA",4.8,560,electricians,,,,,,
Cornelius Electrical Contractors Inc,(321) 674-9667,http://www.corneliuselectric.com/,"Palm Bay, FL",florida,"1497 Norman St NE, Palm Bay, FL 32907, USA",5.0,553,electricians,,,,,,
Pingston Electric,(321) 773-4651,https://www.pingstonelectric.com/,"Palm Bay, FL",florida,"131 Tomahawk Dr #1, Indian Harbour Beach, FL 32937, USA",4.6,160,electricians,,,,,,
Boys Electrical Contractors,(321) 342-1404,https://boyselectrical.com/?utm_source=gmb&utm_medium=gmb&utm_campaign=gmb,"Palm Bay, FL",florida,"110 East Dr, Melbourne, FL 32904, USA",4.7,76,electricians,,,,,,
Wavelength Electrical Contracting INC,(321) 216-5532,https://wavelengthelectric.com/,"Palm Bay, FL",florida,"3100 Harlock Rd, Melbourne, FL 32934, USA",5.0,122,electricians,,,,,,
Kangaroo Electric LLC,(321) 722-5593,https://www.facebook.com/Kangaroo-Electric-107692279299865/,"Palm Bay, FL",florida,"1720 Malabar Rd #642, Malabar, FL 32950, USA",5.0,38,electricians,,,,,,
Virginia Gardens FL Service | Plumbers Electricians Heating Air Conditioning Duct & Vent Cleaning,(786) 244-6215,,"Miami Gardens, FL",florida,"6405 NW 36th St suite 124, Virginia Gardens, FL 33166, USA",4.9,43,electricians,,,,,,
Boca Electrical Service,(561) 320-8539,https://www.bocaelectricalservices.com/,"Pompano Beach, FL",florida,"158 NW 16th St #2, Boca Raton, FL 33432, USA",4.8,469,electricians,,,,,,
Boca Electrical Service,(561) 320-8539,http://bocaelectricalservices.com/,"Pompano Beach, FL",florida,"123 NW 13th St suite 214-09, Boca Raton, FL 33432, USA",5.0,137,electricians,,,,,,
Manny's Electric,(352) 514-2035,,"Gainesville, FL",florida,"11032 NW 60 Terrace, Alachua, FL 32615, USA",4.9,77,electricians,,,,,,
Mr. Electric of North Florida,(352) 240-1990,https://mrelectric.com/north-florida/?cid=LSTL_MRE000196&utm_source=gmb&utm_campaign=local&utm_medium=organic,"Gainesville, FL",florida,"680 NE 23rd Ave Suite A, Gainesville, FL 32609, USA",4.7,117,electricians,,,,,,
Impact Electric,(407) 747-0874,https://impactelectricusa.com/,"Gainesville, FL",florida,"851 Little Fawn Ct, Winter Springs, FL 32708, USA",4.9,30,electricians,,,,,,
352 Electric LLC,(352) 331-6459,http://352electric.com/,"Gainesville, FL",florida,"1102 NW 23rd Ave, Gainesville, FL 32609, USA",4.7,57,electricians,,,,,,
Alford's Affordable Services,(352) 870-9862,https://alfordservice.com/,"Gainesville, FL",florida,"2410 NE 17th Ter, Gainesville, FL 32609, USA",4.7,83,electricians,,,,,,
All Florida Electric Co Inc,(352) 378-6014,,"Gainesville, FL",florida,"2606 NE 17th Ter, Gainesville, FL 32609, USA",4.7,22,electricians,,,,,,
Boston Electric LLC,(561) 570-7788,https://bostonelectric.biz/,"West Palm Beach, FL",florida,"1616 N Florida Mango Rd Suite C7, West Palm Beach, FL 33409, USA",4.9,186,electricians,,,,,,
"Gator Electric and Communications, Inc.",(561) 823-6387,https://www.gatorelectric.com/,"West Palm Beach, FL",florida,"3670 23rd Ave S #1, Lake Worth Beach, FL 33461, USA",4.9,174,electricians,,,,,,
Global Power & Ac Corp,(561) 657-6755,https://www.globalpowerpb.com/,"West Palm Beach, FL",florida,"930 Bellhurst Way #123, West Palm Beach, FL 33411, USA",5.0,639,electricians,,,,,,
Benitez Electric Inc,(786) 721-4030,https://benitezelectricfl.com/,"West Palm Beach, FL",florida,"620 S N St, Lake Worth Beach, FL 33460, USA",5.0,73,electricians,,,,,,
JP Volt Electric INC,(786) 451-1973,https://jpvoltelectric.com/,"West Palm Beach, FL",florida,"625 El Vedado, West Palm Beach, FL 33405, USA",5.0,93,electricians,,,,,,
"J.W. Electric of the Palm Beaches, Inc.",(561) 633-9472,,"West Palm Beach, FL",florida,"1522 13th Ave N, Lake Worth Beach, FL 33460, USA",4.6,34,electricians,,,,,,
Mister Sparky,(561) 203-1264,https://westpalmbeachmistersparky.com/?utm_source=GBP&utm_medium=organic&utm_campaign=westpalmgbp,"West Palm Beach, FL",florida,"Riviera Beach St, Riviera Beach, FL 33407, USA",4.7,585,electricians,,,,,,
Eccentric Energy,(561) 904-1990,,"West Palm Beach, FL",florida,"5307 Spruce Ave, West Palm Beach, FL 33407, USA",4.7,31,electricians,,,,,,
Lighthouse Energy Company,(561) 308-0595,https://www.lighthouseenergyco.com/?utm_source=gbp&utm_mediem=organic,"West Palm Beach, FL",florida,"4657 Southern Blvd d, West Palm Beach, FL 33415, USA",5.0,27,electricians,,,,,,
Kasper Electrical,(561) 845-1660,https://kasperelectricinc.com/,"West Palm Beach, FL",florida,"1321 S Killian Dr Suite A, Lake Park, FL 33403, USA",4.9,242,electricians,,,,,,
Rack Electric,(561) 449-0846,https://www.rackelectric.com/service-areas/west-palm-beach-generators/?utm_source=google&utm_medium=gbp&utm_campaign=west-palm-beach,"West Palm Beach, FL",florida,"7830 Byron Dr # 11, West Palm Beach, FL 33404, USA",4.5,238,electricians,,,,,,
Wave Electrical,(561) 307-9529,https://www.waveelectricalllc.com/,"West Palm Beach, FL",florida,"980 Service St #24, West Palm Beach, FL 33407, USA",4.9,287,electricians,,,,,,
GDI Garage Doors,(727) 594-6735,https://www.gdigaragedoor.com/,"St. Petersburg, FL",florida,"12541 66th St N, Largo, FL 33773, USA",4.9,251,garage_door,,,,,,
St Pete Garage Door Service,(727) 870-1354,,"St. Petersburg, FL",florida,"2105 Central Ave N, St. Petersburg, FL 33713, USA",5.0,23,garage_door,,,,,,
Genie of St. Pete,(727) 541-6694,https://www.geniespfl.com/,"St. Petersburg, FL",florida,"5679 70th Ave N, Kenneth City, FL 33781, USA",4.8,103,garage_door,,,,,,
"Uptown Garage Doors, LLC",(813) 455-8868,https://uptowngaragedoors.amarr.com/us/en/,"St. Petersburg, FL",florida,"7500 13th Ave N, St. Petersburg, FL 33710, USA",5.0,131,garage_door,,,,,,
Miami Garage Door Repairs,(305) 440-1648,https://miamigaragedoorsrepairs.com/,"Miami, FL",florida,"8938 SW 129th Terrace, Miami, FL 33176, USA",4.9,26,garage_door,,,,,,
City Garage & Commercial Door Services Miami,(305) 419-0426,https://repairgaragedoorsmiami.com/,"Miami, FL",florida,"12122 NE 11th Ct, North Miami, FL 33161, USA",5.0,81,garage_door,,,,,,
Local Garage Door Repair,(305) 488-5219,https://local-garage-door-repair-inc.com/,"Miami, FL",florida,"1205 Lincoln Rd #201, Miami Beach, FL 33139, USA",5.0,128,garage_door,,,,,,
ProFix Garage Door Repair,(954) 710-4022,https://profixgaragedoorrepair.shop/,"Miami, FL",florida,"55 SW 9th St, Miami, FL 33130, USA",5.0,51,garage_door,,,,,,
Prime Key Biscayne Garage Door Repair,(305) 440-1610,https://keybiscaynegaragedoorrepair.pro/,"Miami, FL",florida,"240 Crandon Blvd Suite 270, Key Biscayne, FL 33149, USA",4.8,38,garage_door,,,,,,
30 Minutes Garage Doors Repair Jacksonville,(904) 694-5338,,"Jacksonville, FL",florida,"12086 Fort Caroline Rd, Jacksonville, FL 32225, USA",4.8,24,garage_door,,,,,,
Garage Door Repair Of Jacksonville Florida LLC,(850) 446-2340,,"Jacksonville, FL",florida,"8665 Baypine Rd #7741, Jacksonville, FL 32256, USA",5.0,55,garage_door,,,,,,
OGD Overhead Garage Door,(904) 934-8634,https://ogd.com/fl/jacksonville/?utm_source=gmb&utm_medium=organic&utm_campaign=ogd-jax-01&ogd_src=ogd-jax-01-google_business_profile,"Jacksonville, FL",florida,"3948 Sunbeam Rd # 1, Jacksonville, FL 32257, USA",4.7,268,garage_door,,,,,,
Hurricane Garage Doors and Services,(904) 999-8059,https://www.24-7garagedoorrepair-fl.com/,"Jacksonville, FL",florida,"5250 Bowden Rd #104, Jacksonville, FL 32216, USA",4.9,480,garage_door,,,,,,
"OVERHEAD DOOR DEPOT, INC.",(904) 443-7668,https://overheaddoordepot.com/,"Jacksonville, FL",florida,"2000 Blanding Blvd, Jacksonville, FL 32210, USA",4.9,195,garage_door,,,,,,
Ninja Garage Doors,(904) 708-5566,http://www.ninjagaragedoors.com/,"Jacksonville, FL",florida,"6900 Philips Hwy #21, Jacksonville, FL 32216, USA",5.0,94,garage_door,,,,,,
EZ Open Garage Doors,(904) 635-6126,http://www.ezopengaragedoors.com/,"Jacksonville, FL",florida,"9725 Fraser Rd, Jacksonville, FL 32246, USA",5.0,25,garage_door,,,,,,
ABC Garage Doors Repair and Replacement,(904) 329-0819,http://abcgaragedoors904.com/,"Jacksonville, FL",florida,"3811 University Blvd W #25, Jacksonville, FL 32217, USA",4.7,110,garage_door,,,,,,
Winter Park GarageDoor Repair,(321) 316-3061,,"Orlando, FL",florida,"1400 Morgan Stanley Ave unit 362, Winter Park, FL 32789, USA",4.9,97,garage_door,,,,,,
Mi Dr Phillips Garage Door Repair,(407) 974-5700,,"Orlando, FL",florida,"8218 Vía Verona, Orlando, FL 32836, USA",4.9,48,garage_door,,,,,,
Fair Garage Repair,(407) 974-3743,https://fairgaragerepair.com/,"Orlando, FL",florida,"1672 Alden Rd Unit 376, Orlando, FL 32803, USA",4.9,171,garage_door,,,,,,
Casselberry Garage Door Repair,(407) 900-0597,,"Orlando, FL",florida,"606 Kenwick Cir APT 202, Casselberry, FL 32707, USA",4.9,41,garage_door,,,,,,
Garage Doctor Of Orlando Inc.,(407) 796-2349,,"Orlando, FL",florida,"7901 Yacht Basin Ave, Orlando, FL 32835, USA",4.8,92,garage_door,,,,,,
Excellent Garage Door Inc.,(407) 485-1787,https://www.garagedoorexcellent.com/,"Orlando, FL",florida,"7345 Sand Lake Rd STE 313, Orlando, FL 32819, USA",4.8,162,garage_door,,,,,,
Quality Garage Door Services Orlando,(407) 895-0022,https://www.qualitygaragedoororlando.com/,"Orlando, FL",florida,"1618 Camerbur Dr, Orlando, FL 32805, USA",4.8,699,garage_door,,,,,,
"Banko Overhead Doors, LLC",,https://www.bankogaragedoors.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=orlando,"Orlando, FL",florida,"1010 Crews Commerce Dr #110, Orlando, FL 32837, USA",5.0,59,garage_door,,,,,,
ASAP Garage door group,(407) 919-6922,http://asapgaragedoorgroup.com/,"Orlando, FL",florida,"7362 Futures Dr Unit 22/23 suite 104, Orlando, FL 32819, USA",4.6,121,garage_door,,,,,,
OGD Overhead Garage Door,(321) 341-3412,https://ogd.com/fl/orlando/?utm_source=gmb&utm_medium=organic&utm_campaign=ogd-orl-01&ogd_src=ogd-orl-01-google_business_profile,"Orlando, FL",florida,"924 N Magnolia Ave Ste 318, Orlando, FL 32803, USA",4.6,150,garage_door,,,,,,
Infinity Garage Door Service LLC,(850) 343-5805,https://infinity-garage-door.com/,"Tampa, FL",florida,"13012 Arbor Isle Dr UNIT 306, Temple Terrace, FL 33637, USA",5.0,60,garage_door,,,,,,
"Certified Garage Door, Inc.",(813) 949-2330,https://cgdtampa.com/,"Tampa, FL",florida,"8009 Benjamin Rd #104, Tampa, FL 33634, USA",5.0,789,garage_door,,,,,,
One Garage Door Repair Inc,(813) 945-4245,,"Tampa, FL",florida,"7901 W Hillsborough Ave, Tampa, FL 33615, USA",4.9,37,garage_door,,,,,,
Garage Door Ankler Service,(813) 790-7762,,"Tampa, FL",florida,"1725 W Cypress St, Tampa, FL 33606, USA",4.9,63,garage_door,,,,,,
Tampa Garage Door Pros,(813) 553-3549,,"Tampa, FL",florida,"310 S Dale Mabry Hwy, Tampa, FL 33609, USA",5.0,33,garage_door,,,,,,
Premium Garage Doors,(866) 744-1266,https://premiumgaragedoorfl.com/,"Tampa, FL",florida,"12610 Henderson Rd Suite 3, Tampa, FL 33624, USA",4.7,23,garage_door,,,,,,
RT Garage Doors,(813) 357-4959,https://rtgaragedoors.com/,"Tampa, FL",florida,"10801 Venice Cir, Tampa, FL 33635, USA",4.7,37,garage_door,,,,,,
OGD Overhead Garage Door,(813) 937-1648,https://ogd.com/fl/tampa/?utm_source=gmb&utm_medium=organic&utm_campaign=ogd-tpa-01&ogd_src=ogd-tpa-01-google_business_profile,"Tampa, FL",florida,"829 W M.L.K. Jr Blvd Suite 249, Tampa, FL 33603, USA",4.7,149,garage_door,,,,,,
Garage Doors Repair You Riverview,(813) 863-9646,,"Tampa, FL",florida,"10150 Bloomingdale Ave, Riverview, FL 33578, USA",4.8,23,garage_door,,,,,,
Prime Tampa Overhead Doors,(813) 669-2777,https://garagedoorstampa.site/,"Tampa, FL",florida,"9720 Princess Palm Ave Suite 276, Tampa, FL 33619, USA",4.5,37,garage_door,,,,,,
Guaranteed Garage Doors & Repair – Stuart,(772) 444-8663,https://guaranteedgaragerepair.com/,"Port St. Lucie, FL",florida,"629 NW Buck Hendry Way, Stuart, FL 34994, USA",4.8,521,garage_door,,,,,,
Sunrise Garage & Gates,(772) 249-8962,https://sunrisegaragegates.com/,"Port St. Lucie, FL",florida,"1562 SE Village Green Dr #16, Port St. Lucie, FL 34952, USA",5.0,199,garage_door,,,,,,
Guaranteed Garage Repair,(888) 331-2013,http://www.guaranteedgaragerepair.com/,"Port St. Lucie, FL",florida,"1772 SW Schleicher Ln, Port St. Lucie, FL 34984, USA",4.7,59,garage_door,,,,,,
My Garage Doors Repair Port St. Lucie,(772) 362-2264,,"Port St. Lucie, FL",florida,"7163 S US Hwy 1, Port St. Lucie, FL 34952, USA",4.7,23,garage_door,,,,,,
Jls Garage Door Service,(772) 248-4953,,"Port St. Lucie, FL",florida,"4946 S 25th St, Fort Pierce, FL 34982, USA",4.4,21,garage_door,,,,,,
A-Tech Garage Doors,(772) 828-5421,https://atechgaragedoor.com/,"Port St. Lucie, FL",florida,"4864 NW North Macedo Blvd, Port St. Lucie, FL 34983, USA",4.9,446,garage_door,,,,,,
