"﻿""title""",totalScore,reviewsCount,street,city,state,countryCode,website,phone,categoryName,url,accessible,is_dynamic,emails_found,emails,check_status,scraped_content_length,ai_summary_status,business_type,services,owner_name,personalization_hooks,target_market,pain_points,company_size_estimate,key_differentiators,icebreaker,icebreaker_status,icebreaker_tokens
C&K Lawn Mowing and landscaping,5,1,17392 Weatherby Ln,Canyon,Texas,US,https://cklawnl.wixsite.com/cklawnmowingandlands,(806) 647-7046,Lawn care service,https://www.google.com/maps/search/?api=1&query=C%26K%20Lawn%20Mowing%20and%20landscaping&query_place_id=ChIJExLNbNNdAYcR43_UrcIiPh8,Yes,No,2,cklawnl@gmail.com; usacklawnl@gmail.com,success,2557,success,Lawn mowing and landscaping services,Lawn Mowing; Weed Control; Edging; Blowing; Seeding; Fertilizing; Lawn Disease Care; Insect Control,,Highlight the importance of lawn care in enhancing property value; Emphasize their commitment to customer satisfaction,"Homeowners and property managers in Canyon, TX",Maintaining a healthy lawn; Finding reliable landscaping services,small,Personalized service; Experienced and friendly professionals,"Hey, came across c&k lawn mowing and landscaping — love that you're keeping Canyon's yards looking sharp. Sounds like a great way to beat the Texas heat with some solid lawn care!",success,746
Voltage Tree & Lawn,5,165,2315 Buchanan St,Wichita Falls,Texas,US,https://voltagetreelawn.com/,(940) 642-1786,Lawn care service,https://www.google.com/maps/search/?api=1&query=Voltage%20Tree%20%26%20Lawn&query_place_id=ChIJ_eypS3ohU4YRH-6OdFiBukE,Yes,No,1,voltagetreelawn@gmail.com,success,3563,success,Veteran owned tree and lawn care services,Tree Removals; Tree Trimming; Stump Grinding; Lawn Mowing Maintenance; Weed Control; Emergency Tree Removal,Kat Arredondo and Kevin Daniels,Highlight their veteran-owned status; Mention their quick response time,commercial and residential properties in Wichita Falls and surrounding areas,Need for reliable tree and lawn care; Urgent tree removal due to storms,small,Customer satisfaction guarantee; 5 Star Google Review,"Hey Kat and Kevin, came across voltage tree & lawn — 5 stars with 165 reviews in Wichita Falls is impressive! Love how you blend your veteran spirit with top-notch lawn care.",success,747
Elite Lawn Care Amarillo,4.8,62,5344 Capulin Ln,Amarillo,Texas,US,http://www.elitelcamarillo.com/,(806) 676-1945,Landscaper,https://www.google.com/maps/search/?api=1&query=Elite%20Lawn%20Care%20Amarillo&query_place_id=ChIJ46uxhHC15G4RI3k3wIu6KIE,Yes,No,2,william@elitelcamarillo.com; txwilliam@elitelcamarillo.com,success,2534,success,"lawn care service provider in Amarillo, TX",Mowing; Lawn Fertilization; Weed Control; Lawn Aeration; Trimming Hedges,,Transform your lawn into a masterpiece; Experience the difference of Elite Lawn Care,"homeowners in Amarillo, TX",lack of time for lawn maintenance; desire for a beautiful outdoor space,small,eco-friendly practices; customer-centric approach,"Hey, saw elite lawn care in Amarillo — holding 4.8 stars with all those locals backing you up. Love how you keep lawns looking sharp and healthy around here!",success,739
Greenwood Landscaping,4.8,35,3140 9th St,Wichita Falls,Texas,US,https://www.greenwoodlandscaping.net/,(940) 636-9569,Landscaper,https://www.google.com/maps/search/?api=1&query=Greenwood%20Landscaping&query_place_id=ChIJLX5DWgAhU4YRVBc6O4G1HbM,Yes,No,1,greenwoodinc@mail.com,success,9824,success,Landscaping contractor providing residential and commercial services,Residential Lawn Maintenance; Commercial Lawn Maintenance; Landscaping Design and Installation; Hardscaping; Tree and Stump Removal; Concrete Installation; Pond and Water Features; Patio and Walkway Installations; Fence Installations; Outdoor Kitchens; Junk Removal,,Highlight commitment to quality and customer service; Mention discounts for military personnel and seniors,Residential and commercial clients in Wichita Falls and surrounding areas,Need for reliable landscaping services; Desire for aesthetically pleasing outdoor spaces,medium,Veteran-owned business; Over 20 years of experience,"Hey, came across greenwood landscaping — holding 4.8 stars in Wichita Falls with 35 reviews is impressive. Love how you tackle everything from hardscaping to outdoor kitchens for folks around here!",success,767
Lucas VIP Lawn Care LLC,5,5,6939 Quail Ridge Rd,Wichita Falls,Texas,US,https://lucasviplawncare.com/,(940) 704-7115,Lawn care service,https://www.google.com/maps/search/?api=1&query=Lucas%20VIP%20Lawn%20Care%20LLC&query_place_id=ChIJi28bdJ98tgQRcfTyGOFaPWo,Yes,No,1,lucasviplawns@gmail.com,success,3639,success,"Professional landscaping and lawn care services in Wichita Falls, TX.",Lawn Maintenance; Landscaping; Hardscaping; Spring & Fall Cleanup; Christmas Lights; Fencing; Junk Removal,Jordan Lucas,Highlight their commitment to integrity and service; Mention their satisfaction guarantee,Homeowners and businesses in Wichita Falls and surrounding areas,Lack of reliable lawn care services; Need for personalized landscaping solutions,small,Veteran-owned and operated; Focus on building lasting relationships with clients,"Hey Jordan, came across lucas VIP lawn care — love that you’re keeping Wichita Falls looking sharp. You’ve got a perfect 5 stars with those quick cleanups and festive lights.",success,745
All-Pro Mowing and Landscaping,5,23,7511 W McCormick Rd,Amarillo,Texas,US,http://allpromow.com/,(806) 910-6566,Landscaper,https://www.google.com/maps/search/?api=1&query=All-Pro%20Mowing%20and%20Landscaping&query_place_id=ChIJy1EsgqpDAYcR2Ihli02U9C8,Yes,No,1,clayallpro1@gmail.com,success,1664,success,Expert commercial lawn care and landscaping services,Weekly lawn care; Bi-weekly lawn care; On-call services; Fall clean-up; Winter lawn protection; Christmas light installation,,Leaves falling? We can help with clean-ups!; Enjoy the fall season while we handle your yard work.,commercial property owners,Lack of time for yard maintenance; Need for seasonal lawn care services,small,Customized fall services; Focus on commercial properties,"Hey, came across all-pro mowing and landscaping — love that you’re keeping Amarillo’s lawns looking sharp year-round. It’s cool how you handle everything from weekly care to those festive lights!",success,745
Gene James Air Conditioning & Heating,4.6,8,108 W Cash St,Iowa Park,Texas,US,https://airconditioningwf.com/,(940) 592-9333,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Gene%20James%20Air%20Conditioning%20%26%20Heating&query_place_id=ChIJJYyRH087U4YRmfUJQqm_gXk,Yes,No,2,genejames@airconditioningwf.com; genejames@airconditioningwf.comlicense,success,2585,success,"Heating and air conditioning services in Wichita Falls, Texas.",maintenance; repairs; installations,Mike James,"Highlight their commitment to honest, no-pressure service; Mention their special offers for cost savings","residents and businesses in Wichita Falls, Texas",high energy costs; inefficient heating and cooling systems,small,family-run business; authorized dealer of American Standard and WaterFurnace,"Hey Mike, came across gene james air conditioning — 4.6 stars in Iowa Park is a solid start! Love that you're keeping folks cool in this Texas heat with reliable installations and maintenance.",success,730
Coffee Landscape and Design LLC,4.8,45,7765 Longoria Rd #400,Amarillo,Texas,US,http://www.coffeelandscapedesign.com/,(806) 656-1296,Landscape designer,https://www.google.com/maps/search/?api=1&query=Coffee%20Landscape%20and%20Design%20LLC&query_place_id=ChIJcQUTe89dAYcRiS5e5JncALg,Yes,No,1,coffeelandscapeanddesign@gmail.com,success,2048,success,landscaping services specializing in sustainable designs,landscape design; landscape installation; irrigation system installation; irrigation repair; xeriscape design; artificial turf; hardscapes; retaining walls; landscape lighting; seasonal flower pots,,focus on sustainable landscaping; expertise in irrigation systems,residential and commercial properties in Amarillo and Canyon,need for efficient water conservation; desire for aesthetic outdoor spaces,small,over 13 years of experience; licensed by the state of Texas,"Hey, came across coffee landscape and design — love that 4.8 rating in Amarillo! Your sustainable designs really stand out, especially with all this Texas heat and water conservation talk.",success,753
Wichita Valley Landscape,4.7,60,5314 Southwest Pkwy,Wichita Falls,Texas,US,https://www.wv-landscape.com/,(940) 696-3082,Landscaper,https://www.google.com/maps/search/?api=1&query=Wichita%20Valley%20Landscape&query_place_id=ChIJz0qmQAEiU4YRVTaWfa1laBc,Yes,No,1,wvmail@aol.com,success,1465,success,Landscape design and native plant nursery,Landscape design; Water features; Stonework; Plant selections,,Emphasize water savings in landscaping; Highlight the use of local genetics for superior plants,"Homeowners and businesses in Wichita Falls, TX",High water usage in traditional landscaping; Dependence on chemical fertilizers for plant growth,small,Focus on native plants and heirloom varieties; No chemicals used in plant growth,"Hey, came across wichita valley landscape — 4.7 stars with 60 reviews is impressive! Love how you incorporate native plants and water features in that Texas heat.",success,725
Flatland Roofing & Insulation,5,43,706 Elm St,Hartley,Texas,US,https://flatlandroofinginsulation.com/?utm_source=gbp,(806) 606-6794,Insulation contractor,https://www.google.com/maps/search/?api=1&query=Flatland%20Roofing%20%26%20Insulation&query_place_id=ChIJPz4Kibk1BIcR29UlEl6eKn0,Yes,No,1,info@flatlandroofinginsulation.com,success,4664,success,"Roofing and insulation contractor serving Amarillo, TX",Residential Roofing; Commercial Roofing; Residential Insulation; Commercial Insulation,Tyrell Penner,Emphasize community involvement and trust; Highlight 5-star reputation and customer satisfaction,Homeowners and businesses in Amarillo and the Texas Panhandle,Need for reliable roofing and insulation services; Concerns about project financing and quality assurance,small,Locally owned and operated; Community-focused service,"Hey Tyrell, saw flatland roofing & insulation — 5 stars with the locals backing you up is impressive! Love how you’re keeping Amarillo cozy and covered.",success,733
Toot'n Totum Car Care Center (Dalhart),4.2,72,410 Liberal St,Dalhart,Texas,US,https://www.tootntotum.com/carcare,(806) 244-0707,Auto repair shop,https://www.google.com/maps/search/?api=1&query=Toot'n%20Totum%20Car%20Care%20Center%20(Dalhart)&query_place_id=ChIJlyuRYs-2BYcRQI0LMFKctxE,Yes,No,0,,success,5248,success,Full-service car maintenance and repair center,Oil Changes; State Inspections; Free Brake Check; Rock Chip Repair,,Mention the free brake check offer; Highlight the quick oil change service,Vehicle owners in Dalhart and surrounding areas,Need for reliable vehicle maintenance; Concerns about vehicle safety inspections,medium,17-Point Inspection included with every service; Fast and friendly service,"Hey, saw toot'n totum in Dalhart — looks like you guys are the go-to for all things car care. Free brake checks sound like a solid deal for those Texas road trips!",success,742
Juan’s landscaping and Irrigation,4.3,12,2214 Holliday Rd,Wichita Falls,Texas,US,http://www.juanslandirco.com/,(940) 631-6069,Landscaper,https://www.google.com/maps/search/?api=1&query=Juan%E2%80%99s%20landscaping%20and%20Irrigation&query_place_id=ChIJqaUan8YhU4YR4gHFAf837yA,Yes,No,2,jlmaldonadojr@gmail.com; jlmaldonadojr@gmail.comphone,success,3040,success,Landscaping and irrigation services provider,Sprinkler System Installation; Landscape Design and Maintenance; Drainage Solutions; Sod Installation; Hardscape Services; Landscape Lighting,Juan Maldonado,Highlight commitment to client satisfaction; Mention expertise in both residential and commercial projects,Residential and commercial clients in North Texas,Need for reliable landscaping services; Challenges with irrigation system maintenance,small,Over 35 years of experience; Comprehensive approach to projects,"Hey Juan, came across juan’s landscaping and irrigation — love how you tackle those drainage issues in Wichita Falls. It's gotta be nice helping folks enjoy their yards year-round!",success,741
Absolute Lawn Care,3.6,56,13490 FM 2590,Amarillo,Texas,US,http://www.absolutelawncareonline.com/,(806) 676-5199,Lawn care service,https://www.google.com/maps/search/?api=1&query=Absolute%20Lawn%20Care&query_place_id=ChIJy8RJF05FAYcRGrcJR4gpJeY,Yes,No,1,micah@absolutelawncareonline.com,success,706,success,Complete lawn and landscape services for the Texas Panhandle,"Lawn Care Maintenance; Swimming Pools; Outdoor Kitchen; Artificial Turf; Fencing; Pergolas & Covers; Plant, Sod & Tree Installation; Christmas Light Installation",,Highlighting the variety of services offered; Emphasizing local expertise in Amarillo,residential and commercial clients in the Texas Panhandle,Need for reliable lawn care services; Desire for comprehensive outdoor solutions,small,One stop shop for all outdoor needs; Focus on the Texas Panhandle,"Hey, came across absolute lawn care — love that you guys tackle everything from pools to outdoor kitchens in Amarillo. That variety's gotta keep things interesting this time of year!",success,750
Allen Lawn Care,4.8,23,,,,,http://www.lawncare806.com/,(806) 679-8516,Lawn care service,https://www.google.com/maps/search/?api=1&query=Allen%20Lawn%20Care&query_place_id=ChIJs5CzyF5DAYcRanTxmhScT9c,Yes,No,3,service.mail@lawncare806.com; contactmail@lawncare806.com; mail@lawncare806.com,success,3729,success,"Professional lawn care service in Amarillo and Canyon, TX",Mowing; Tree Root Feeding; Flower and Shrub Service; Landscape Upgrades; Turf Care and Disease Control; Outdoor Cleaning; Power Washing Service,,Highlight their expertise in tree root feeding; Mention the importance of curb appeal for properties,"Residents and property owners in Amarillo and Canyon, TX",Neglected lawns and gardens; Need for professional outdoor cleaning services,small,Over 30 years of combined lawn service experience; Family-run business with a focus on customer satisfaction,"Hey, saw allen lawn care — keeping Amarillo and Canyon lawns looking sharp is no small feat. Love how you tackle everything from turf care to those pesky tree roots!",success,746
Custom Gardens,4.8,21,925 E Loop 335 S,Amarillo,Texas,US,http://www.customgardensamarillo.com/,(806) 354-9693,Landscape architect,https://www.google.com/maps/search/?api=1&query=Custom%20Gardens&query_place_id=ChIJlx50KrJFAYcR4WFZK4MxIpE,Yes,No,2,info@customgardensamarillo.com; info@customgardensamarillo.comconsultationwe,success,2789,success,Full-service landscaping design and maintenance in Texas Panhandle.,Landscape Design; Installation; Maintenance; Hardscaping; Irrigation; Pest Control; Weed Control; Tree Services,,Highlight the importance of planting in fall; Mention their awards for excellence in landscaping,Homeowners in the Texas Panhandle,Need for professional landscaping services; Desire for sustainable outdoor spaces,medium,Licensed landscape architects; Focus on sustainability,"Hey, came across custom gardens — love the vibe of creating beautiful outdoor spaces in Amarillo. That mix of hardscaping and maintenance sounds like a game changer for the Texas Panhandle!",success,742
Tactical Heating & Air,4.9,50,2405 SW 6th Ave,Amarillo,Texas,US,https://tacticalheatingandair.com/?utm_source=GBP&utm_medium=IGNITE&utm_campaign=LSEO&utm_id=Tactical,(806) 576-9259,Air conditioning repair service,https://www.google.com/maps/search/?api=1&query=Tactical%20Heating%20%26%20Air&query_place_id=ChIJ0U9pI-46DyMR3oHo9R60BvA,Yes,No,1,tacticalheatingandair@yahoo.com,success,4232,success,Reliable HVAC repair and maintenance services in Amarillo,A/C Repair; Heating Services; HVAC Maintenance; System Replacement; Commercial HVAC Services,,Quick response times for urgent HVAC issues; Energy-efficient system upgrades available,residential and commercial clients in Amarillo and surrounding areas,Unreliable HVAC systems; High energy bills during extreme weather,small,Same-day service availability; Focus on customer satisfaction,"Hey, came across tactical heating & air — 4.9 stars in Amarillo is impressive! Love how you keep folks comfortable year-round with reliable service.",success,733
Fort Worth Air Conditioning Co. Inc.,4.9,448,9105 White Settlement Rd,Fort Worth,Texas,US,https://fortworth-air.com/,(817) 367-6000,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Fort%20Worth%20Air%20Conditioning%20Co.%20Inc.&query_place_id=ChIJ0448j4QMToYRPa-ngQizuzA,Yes,No,1,service@fortworth-air.com,success,7922,success,Air conditioning and heating repair service,AC repair; Heating repair; Installation and maintenance,Sonny Pewitt,Highlight commitment to customer service; Mention financing options for customers,"Residents and businesses in Fort Worth and Tarrant County, TX",High energy costs due to inefficient systems; Emergency HVAC failures at inconvenient times,medium,24/7 emergency service; Guaranteed repairs for 1 year,"Hey Sonny, saw fort worth air conditioning is rocking 4.9 stars with almost 450 locals backing you up — that’s impressive! With this Texas heat, you’ve got to be busy keeping everyone cool.",success,736
Orgrow Lawn Care,4.6,14,901 S Madison St,Amarillo,Texas,US,http://www.orgrowlawncare.com/,(806) 376-4769,Lawn care service,https://www.google.com/maps/search/?api=1&query=Orgrow%20Lawn%20Care&query_place_id=ChIJRfu6lVVOAYcRRgG2WFGI2eI,Yes,No,0,,success,306,success,Lawn care services tailored to individual lawn needs,Lawn Care; Tree & Shrub Care,,Highlight local expertise since 1989; Emphasize tailored treatments for unique lawn needs,Homeowners in need of lawn and garden care,Weed control; Maintaining healthy lawns,small,Locally owned and operated since 1989; Customized lawn care treatments,"Hey, came across orgrow lawn care — love how you tailor services to each lawn's needs in Amarillo. It’s nice to see someone taking a personal touch with greenery around here!",success,729
Malcolm's Heating & Air,5,202,3416 Wendell Dr,North Richland Hills,Texas,US,https://www.malcolmsheatingandair.com/,(817) 333-7310,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Malcolm's%20Heating%20%26%20Air&query_place_id=ChIJE6DWTMV5ToYR3746Rw_AnWc,Yes,No,1,malcolmsair@gmail.com,success,5981,success,Heating and cooling services for residential and commercial properties,AC installation; air conditioning repair; furnace repair; heat pump repair; air purification,,Highlight energy efficiency benefits of new AC installations; Emphasize quick response times for emergency repairs,"residential and commercial properties in North Richland Hills, Haltom City, Fort Worth, and Richland Hills, TX",high energy costs; poor indoor air quality,small,24/7 support; upfront pricing,"Hey, came across malcolm's heating & air — 5 stars with over 200 locals cheering you on is no small feat in North Richland Hills. Love that you keep everyone's air flowing smoothly!",success,741
Trinity Air Conditioning - Main Office,5,683,1515 Archer City Hwy,Wichita Falls,Texas,US,http://trinityairconditioning.com/,(940) 761-1808,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Trinity%20Air%20Conditioning%20-%20Main%20Office&query_place_id=ChIJi9sXvvEfU4YRssKBK9o1TvQ,Yes,No,0,,success,15000,success,Heating and cooling services for residential customers,Heating services; Cooling services; Indoor air quality solutions,,Highlight their commitment to customer comfort; Mention their award-winning service,Homeowners in Wichita Falls and surrounding areas,Heating and cooling system failures; Poor indoor air quality,medium,Recipient of the Lennox Industries Length of Dealership Award; Experienced technicians for emergency repairs and installations,"Hey, saw trinity air conditioning — holding 5 stars with 683 reviews in Wichita Falls is seriously impressive! Love how you're keeping homes comfy year-round, especially with this Texas heat.",success,729
Total Lawn Care,3.8,13,308 6th St,Wichita Falls,Texas,US,http://totallawncarewf.com/,(940) 691-4309,Lawn care service,https://www.google.com/maps/search/?api=1&query=Total%20Lawn%20Care&query_place_id=ChIJnY1rZhAfU4YRhJY6622zYZQ,Yes,No,0,,success,2130,success,Lawn care services specializing in weed control and fertilization,Weed Control; Fertilization; Flower Bed Weed Control; Pest Control,,Highlight the importance of curb appeal for homeowners; Emphasize free service calls if weeds reappear,"Residential and commercial properties in Wichita Falls, TX",Difficulty in maintaining a weed-free yard; Challenges of managing larger properties,small,Locally owned; Over 15 years of experience; Licensed and insured,"Hey, came across total lawn care — weed control and fertilization sound like a solid combo for those Texas summers. Hope you’re keeping those lawns thriving in Wichita Falls!",success,732
Curt's Lawn Service,5,136,,,,,http://www.curtslawnservice.com/,(940) 867-2477,Lawn care service,https://www.google.com/maps/search/?api=1&query=Curt's%20Lawn%20Service&query_place_id=ChIJOziuHOshU4YRFVU6uDAfkHk,Yes,No,0,,success,1114,success,"Lawn care services in Wichita Falls, Texas",lawn mowing; gutter cleaning; shrub trimming; leaf raking; flower bed weeding; mulch installation; lot cleanup,Curtis,Veteran-owned business; Focus on excellent customer service,small to medium sized residential properties in Wichita Falls area,limited availability in surrounding areas; need for reliable lawn care services,solo,U.S. Air Force veteran; personalized service with guaranteed work,"Hey Curtis, saw Curt's Lawn Service — holding 5 stars with over 130 reviews in Wichita Falls! Love that you're keeping yards sharp and tidy while tackling all that Texas weather.",success,738
Hall's Heating And Air,4.9,887,801 W Kingsmill Ave Ste. #2,Pampa,Texas,US,https://hallheatingandair.net/,(806) 203-6646,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Hall's%20Heating%20And%20Air&query_place_id=ChIJbxkZGgVJB4cRlENErKvWEY4,Yes,No,0,,success,7585,success,"HVAC services and repairs in Pampa, TX",AC Installation & Replacement; Heating Installation & Replacement; Commercial AC Services,,Over 40 years of trusted service in Pampa; 5-star rated on Google for exceptional customer service,"residential and commercial customers in Pampa, TX",AC unit breakdown during summer; Heating failure during winter,medium,100% Satisfaction Guarantee; Highest-rated HVAC company in Pampa,"Hey, saw hall's heating and air — 4.9 stars with nearly 900 locals backing you up is impressive! Seems like keeping the Pampa heat at bay is your specialty.",success,735
