company_name,domain,website_url,linkedin_url,industry,sub_industry,employee_count,revenue,revenue_range,location_city,location_state,location_country,founded_year,technologies,keywords,description,phone,lead_score,collection_date,notes,target_persona,enrichment_priority
ModumUp - Innovative B2B Marketing Agency,modumup.com,http://www.modumup.com,http://www.linkedin.com/company/modumup,marketing & advertising,,27,0,,Austin,Texas,United States,2018,,"social selling, b2b lead generation, personal branding, ghostwriting, linkedin, linkedin training, social media marketing, linkedin marketing, advertising services, business services, network expansion, social media analytics, social selling case studies, professional community building, social selling in healthcare, social media campaigns, networking strategies, private messaging, personal brand for scientists, linkedin connections, engagement tactics, content strategy, content marketing, social selling for fintech, b2b marketing, information technology and services, social media for employer branding, social selling for it executives, target audience interaction, social media profiles management, personal brand development, social selling in mena, relationship building, content diversification, content creation, lead generation, b2b lead generation mechanics, marketing and advertising, social media outreach, lead nurturing, social selling in logistics, influencer outreach, social selling for manufacturing, target audience search, employee advocacy programs, social media management, target audience, social media engagement, management consulting, audience growth, b2b, consulting, services, management consulting services, brand awareness, digital transformation, market research, marketing automation, consumer internet, consumers, internet, information technology & services, marketing & advertising, marketing, sales, saas, computer software, enterprise software, enterprises",,,68,2025-09-04,Premium marketing agency - marketing & advertising,Marketing Director/VP/Founder,High
ROI Digitally - Digital Marketing Agency,roidigitally.com,http://www.roidigitally.com,http://www.linkedin.com/company/roidigitally,marketing & advertising,,13,0,,Ann Arbor,Michigan,United States,2022,,"digital marketing, seo content, website development, website optimization, social media, email marketing, online advertising, branding development, ecommerce marketing, organic marketing, paid advertising, seo strategy, website ux ui, social media ads, google ads, cro, cpc optimization, content marketing, marketing services, ux/ui design, roi-focused strategies, performance marketing, keyword research, online marketing solutions, digital shopper insights, ad management, digital branding, roi digital marketing, u.s. market entry, organic traffic growth, seo audit, digital marketing agency, e-commerce platform integration, link building, target audience analysis, e-commerce, marketing automation, white hat seo, multi-channel marketing, digital marketing services, market research, brand development, performance tracking tools, data-driven marketing, market expansion, google analytics, marketing roi calculation, customer engagement, content creation, seo outsourcing, information technology and services, customer acquisition, website speed optimization, social media marketing, marketing and advertising, conversion optimization, social media campaigns, website management, brand storytelling, b2b, b2c, d2c, consulting, services, retail, management consulting services, advertising services, lead generation, user experience, analytics, branding, digital transformation, conversion rate optimization, customer relationship management, business consulting, marketing & advertising, web development, information technology & services, consumer internet, consumers, internet, marketing, saas, computer software, enterprise software, enterprises, sales, ux, crm, management consulting",,+1 810-990-6069,65,2025-09-04,Premium marketing agency - marketing & advertising,Marketing Director/VP/Founder,High
8 Digital Marketing Agency,8-digitalmarketing.com,http://www.8-digitalmarketing.com,http://www.linkedin.com/company/8digi,marketing & advertising,,17,0,,Los Angeles,California,United States,2015,,"marketing consultant, online advertising, digital marketing, seo, social media marketing, web design, web development, graphic design, event marketing, content marketing, advertising services, display advertising, brand personality, mobile app design, digital marketing services, custom software solutions, ui design, long-lasting brand impact, mobile app development, digital strategy planning, brand communication, seo services, cms development, search engine optimization, user experience design, ppc remarketing, intranet development, ppc, seo audit, digital consultancy, social media strategy, media management, website development, content strategy, branding, content creation, website design, e-commerce solutions, marketing and advertising, offline marketing ideas, video advertising, digital campaigns, customer engagement, competitor analysis, consumer behavior analysis, branding services, ppc advertising, b2b, e-commerce, d2c, consulting, services, retail, advertising agencies, marketing & advertising, information technology & services, search marketing, marketing, consumer internet, consumers, internet, events, events services, software development",,+1 310-848-9069,63,2025-09-04,Premium marketing agency - marketing & advertising,Marketing Director/VP/Founder,High
Hometown Digital Marketing Agency,hometowndma.com,http://www.hometowndma.com,http://www.linkedin.com/company/hometowndma,marketing & advertising,,12,0,,Cookeville,Tennessee,United States,2015,,"social media marketing, motivational speakers, digital marketing, event planning & management, seo, custom websites, sem, ppc, programmatic display advertising, shine social, reputation management, review management, targeted display ads, lead generation, email marketing, mobile marketing, genfencing, retargeting, website creation, advertising agency, streaming tv marketing, advertising services, social media campaigns, hyper-local targeting, public relations, local search results, multichannel strategy, client acquisition, multichannel marketing, aggregator distribution, voice search seo, content creation services, local search optimization, video content production, local seo analytics, programmatic display, voice search optimization strategies, local directory management, consumer insights, location-based advertising, online reputation, online presence, voice search ranking factors, programmatic advertising, voice search optimization, seo and sem services, social media management, branding, digital ecosystem, local citations, review generation, local search dominance, online directories, geofencing, content creation, brand visibility, reputation enhancement, local search ecosystem, digital reputation monitoring, listing management, video marketing, native ad placement, voice search, business listing synchronization, email automation, brand identity, performance tracking, search engine optimization, voice search ranking, geofencing campaigns, local search rankings, customer engagement, business reputation, data push, voice-enabled local search, review platforms, digital advertising, search visibility, review generation tools, voice search marketing tactics, digital ad targeting, online review management, seo optimization, native advertising, campaign analytics, geofencing marketing, voice search voice assistant, campaign management, performance reporting, content creation and video marketing, marketing and advertising, consumer behavior insights, voice search marketing, website development, google my business, strategic planning, business listings, analytics, full-service marketing, business data synchronization, voice assistant marketing, creative production, local business visibility, website design, local citations management, client growth, aggregator data distribution, review monitoring, content marketing, voice-enabled search, sem campaigns, business data accuracy, local seo, targeted advertising, listing accuracy, b2b, consulting, services, advertising agencies, brand strategy, data analytics, marketing automation, event marketing, consumer internet, consumers, internet, information technology & services, marketing & advertising, search marketing, marketing, sales, public relations & communications, web development, web design, saas, computer software, enterprise software, enterprises, events, events services, butcher, food",,+1 800-487-0503,60,2025-09-04,Premium marketing agency - marketing & advertising,Marketing Director/VP/Founder,High
Ajax Union B2B Marketing,ajaxunion.com,http://www.ajaxunion.com,http://www.linkedin.com/company/ajaxunion,marketing & advertising,,55,19000000.0,19M,New York,New York,United States,2008,,"seo, ppc managment, marketing, advertising, business development, internet marketing, web development, pr marketing, social media marketing, email marketing, video marketing, local marketing, advertising services, content creation, paid advertising, ai prompts for marketing, linkedin outreach automation, linkedin profile audit, esg consulting, business consulting, linkedin statistics, linkedin profile optimization, b2b digital marketing, branding, funnel development, linkedin authority blueprint, b2b branding, marketing and advertising, brand development, marketing analytics, lead tracking tools, unlimited digital marketing, lead nurturing strategies, website audits, roi tracking, ai consulting, marketing strategy, market research, competitive analysis, marketing book, b2b sales funnel, marketing workshops, linkedin training, linkedin automation, marketing automation, digital marketing, social media management, target audience analysis, industry insights newsletter, call tracking, marketing kpi reports, client case studies, information technology and services, b2b meetup, digital marketing roi, content marketing, client retention, sales enablement, linkedin outreach, linkedin automation bot, marketing funnel automation, lead generation, b2b marketing, web design, reputation management, b2b, b2c, consulting, services, management consulting services, information technology & services, search marketing, marketing & advertising, consumer internet, consumers, internet, management consulting, saas, computer software, enterprise software, enterprises, sales, professional services",,+1 718-569-1020,70,2025-09-04,Premium marketing agency - marketing & advertising,Marketing Director/VP/Founder,High
Vista,vistaprint.com,http://www.vistaprint.com,http://www.linkedin.com/company/vistaprint,information technology & services,internet,13,303000.0,303K,Waltham,Massachusetts,United States,1995,,"small business marketing, technology, marketing, microbusinesses, software engineering, architecture, finance, manufacturing, design, ecommerce, software development, personalized corporate gifts, product templates, custom signage printing, online branding solutions, digital printing innovation, digital printing, flyers, small business services, small business marketing tools, brochures, social media marketing, event signage, supply chain efficiency, digital printing services, online product customization, custom marketing collateral, printing, business cards, design tools, product customization, bulk printing, online storefront, cost savings, personalized products, product personalization, fast turnaround, website design, print-on-demand services, e-commerce platform, online design tools, banners, cost-effective printing, custom product creation, marketing materials, digital printing technology, custom printing, promotional products, small business promotional products, e-commerce, custom business products, personalized marketing items, cost-effective branding, email marketing, custom products, signage, email marketing tools, branding solutions, customer support, website design services, small business branding, digital print on demand, custom printed merchandise, international printing services, order management, digital marketing, small business support, fast printing turnaround, order tracking, print-on-demand, online design studio, fast delivery, postcards, digital printing equipment, digital marketing for smbs, international markets, marketing and advertising, global reach, small business growth, personalized event signage, custom promotional items, personalized gifts, photo gifts, digital marketing services, online platform, digital print solutions, customer design interface, product variety, branded merchandise, b2c, d2c, services, retail, customer service, business services, customer experience, graphic design, online store, financial services, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services, marketing & advertising, web design, b2b",,,75,2025-09-04,Premium marketing agency - information technology & services,Marketing Director/VP/Founder,High
Ajax Union B2B Marketing,ajaxunion.com,http://www.ajaxunion.com,http://www.linkedin.com/company/ajaxunion,marketing & advertising,,55,19000000.0,19M,New York,New York,United States,2008,,"seo, ppc managment, marketing, advertising, business development, internet marketing, web development, pr marketing, social media marketing, email marketing, video marketing, local marketing, advertising services, content creation, paid advertising, ai prompts for marketing, linkedin outreach automation, linkedin profile audit, esg consulting, business consulting, linkedin statistics, linkedin profile optimization, b2b digital marketing, branding, funnel development, linkedin authority blueprint, b2b branding, marketing and advertising, brand development, marketing analytics, lead tracking tools, unlimited digital marketing, lead nurturing strategies, website audits, roi tracking, ai consulting, marketing strategy, market research, competitive analysis, marketing book, b2b sales funnel, marketing workshops, linkedin training, linkedin automation, marketing automation, digital marketing, social media management, target audience analysis, industry insights newsletter, call tracking, marketing kpi reports, client case studies, information technology and services, b2b meetup, digital marketing roi, content marketing, client retention, sales enablement, linkedin outreach, linkedin automation bot, marketing funnel automation, lead generation, b2b marketing, web design, reputation management, b2b, b2c, consulting, services, management consulting services, information technology & services, search marketing, marketing & advertising, consumer internet, consumers, internet, management consulting, saas, computer software, enterprise software, enterprises, sales, professional services",,+1 718-569-1020,70,2025-09-04,Premium marketing agency - marketing & advertising,Marketing Director/VP/Founder,High
Condor | Digital Marketing,condoragency.com,http://www.condoragency.com,http://www.linkedin.com/company/condoragency,marketing & advertising,,44,0,,Miami,Florida,United States,2018,,"digital marketing strategy, website experience, seo, content generation, crm, email, paid search, paid social media, web analytics, performance measurement, marketing talent recruiting, advertising services, technical guides, data-driven insights, content marketing, abm, podcasts, sales enablement, analytics, case studies, crm management, lead generation, business services, nearshore staffing, video content, content optimization, programmatic & native ads, whitepapers, latam talent, marketing automation, nurturing campaigns, digital marketing, webinars, marketing roi, intent targeting, crm integration, marketing agencies, b2b marketing, conversion rate optimization, pipeline acceleration, lead scoring, information technology, testimonials, marketing strategy, marketing analytics, content creation, paid social, retargeting, strategic planning, b2b, consulting, services, advertising agencies, paid media, event marketing, social media management, web design, cold email, inbound marketing, market research, brand awareness, performance marketing, digital transformation, information technology & services, search marketing, marketing, marketing & advertising, sales, enterprise software, enterprises, computer software, saas, events, events services",,+1 312-285-6379,70,2025-09-04,Premium marketing agency - marketing & advertising,Marketing Director/VP/Founder,High
KlientBoost - The Performance Marketing Agency,,,http://www.linkedin.com/company/klientboost,marketing & advertising,,95,15000000.0,15M,Costa Mesa,California,United States,2015,,"google adwords, bing ads, ppc marketing, paid search marketing, search engine marketing, sem, ppc, landing pages, cro, lpo, seo, email marketing, facebook ads, youtube ads, b2b marketing, ecommerce marketing, linkedin thought leadership ads, linkedin ads, digital marketing, marketing services, analytics, performance analytics, high-quality traffic, lead generation, email marketing automation, search engine optimization, cost per acquisition, target audience, marketing strategy, traffic optimization, ad campaign optimization, ad platform management, ad campaign management, performance marketing, client success, ad budget management, ad copywriting, marketing and advertising, campaign optimization, ad spend optimization, marketing automation, ppc management, user experience, client growth, campaign analytics, roi optimization, organic search, scaling campaigns, ad testing, digital marketing services, data-driven marketing, keyword analysis, ad scheduling, google ads, pay-per-click advertising, roi improvement, campaign management, landing page design, conversion rate optimization, marketing roi, lead nurturing, ad optimization, remarketing, paid media, content creation, traffic conversion, a/b testing, content marketing, digital advertising, conversion tracking, keyword research, client roi, ad performance improvement, b2b, e-commerce, d2c, services, advertising agencies, demand generation, customer acquisition, finance, retail, marketing, marketing & advertising, information technology & services, search marketing, sales, saas, computer software, enterprise software, enterprises, ux, consumer internet, consumers, internet, financial services",,+1 949-220-1195,75,2025-09-04,Premium marketing agency - marketing & advertising,Marketing Director/VP/Founder,High
Avestan Technologies LLC,avestantechnologies.in,http://www.avestantechnologies.in,http://www.linkedin.com/company/avestan-technologies,information technology & services,,48,0,,Lewes,Delaware,United States,2017,,"software development, mobile development, product development, web solutions, cloud service provider, custom software development, financial software development, travel & hospitality software solutions, medical software developmen, healthcare software development, staffing, it services & it consulting, mobile app development, digital marketing, cloud services, machine learning, consulting, healthcare software, automation, enterprise software, digital transformation, web development, data analytics, artificial intelligence, project management, business intelligence, customer relationship management, network security, system integration, technology consulting, managed services, information technology & services, b2b, marketing & advertising, cloud computing, enterprises, computer software, productivity, analytics, crm, sales, management consulting",,+91 83810 09662,60,2025-09-04,Premium marketing agency - information technology & services,Marketing Director/VP/Founder,High
Digital Marketing Agency LLC,digitalmarketingagencyllc.com,http://www.digitalmarketingagencyllc.com,http://www.linkedin.com/company/digital-marketing-agency-llc,marketing & advertising,,48,0,,New York,New York,United States,2018,,"software development, digital marketing, web development, email marketing, google display ads, social media marketing, brand sms marketing, facebook marketing, content development, domain, hosting, ecommerce development, creative graphic design, domain registration, custom web design, video marketing, web maintenance, advanced app development, advertising services, google ads (ppc), marketing and advertising, content creation, graphic design, e-commerce solutions, e-commerce, drop shipping, web development and design, local seo, branding, search engine optimization, marketplace optimization, b2b, d2c, services, advertising agencies, information technology & services, marketing & advertising, consumer internet, consumers, internet, social media, marketing, design, seo, search marketing",,+1 347-946-2478,70,2025-09-04,Premium marketing agency - marketing & advertising,Marketing Director/VP/Founder,High
Oho Group Ltd,oho.co.uk,http://www.oho.co.uk,http://www.linkedin.com/company/oho-group-ltd,staffing & recruiting,"management consulting, marketing & advertising",42,354000.0,354K,London,,United Kingdom,2007,,"java, c, python, aspnet, vbnet, electronic engineering, embedded c, pm, ba, vhdl, digital, software development, data science, quantitative research, management, business change, consulting, content publishing services, content management software, website redesign, digital marketing, content delivery network, content services, content collaboration, website design, content efficiency, content publishing solutions, content publishing tools, content management automation, content management collaboration, content automation, content analytics, content personalization, content management solutions, content accelerator, brand messaging, content management security, content management workflow, web development, content project management, content workflow, content production services, content management personalization, digital solutions, content management tools, content management system, content management scalability, content optimization, enrollment marketing, information technology and services, digital strategy, content management performance, content strategy, content planning, content management, content publishing platform, healthcare marketing, content scalability, content management analytics, content creation, online presence, content publishing, content production, content delivery, higher education marketing, content marketing, healthcare communications, content experience, content solutions, content management system integration, digital experience, content management services, content quality, content management platform, web content, content platform, client engagement, digital transformation, services, management consulting services, talent acquisition, cyber security, business services, information technology & services, marketing & advertising, web design, marketing, computer & network security, b2b",,+44 20 7622 6244,82,2025-09-04,Premium marketing agency - staffing & recruiting,Marketing Director/VP/Founder,High
Flexa,mtrbio.com,http://www.mtrbio.com,http://www.linkedin.com/company/flexa-careers,information technology & services,internet,44,0,,London,,United Kingdom,2020,,"employer branding, talent attraction, hiring, careers, flexible working, future of work, evp, diversity & inclusion, talent intelligence, workplace culture, technology, information & media, engineering, education, digital marketing, information technology & services, marketing & advertising",,+44 794 350 7248,62,2025-09-04,Premium marketing agency - information technology & services,Marketing Director/VP/Founder,High
Zoom Web Media - Digital Marketing Agency,zoomwebmedia.com,http://www.zoomwebmedia.com,http://www.linkedin.com/company/zoom-web-media,information technology & services,"computer software, marketing & advertising",20,1992000.0,2.0M,Garden City,Idaho,United States,2010,,"digital marketing, web design, development, mobile apps development, ecommerce solution, it services & it consulting, business automation tools, search engine optimization (seo), it infrastructure support, woocommerce, business intelligence tools, php development, digital marketing and advertising, digital marketing analytics, website development, full stack development, wordpress, social media optimization (smo), google ads, shopify, search engine optimization, business automation, laravel development, online brand building, responsive web design, custom software, responsive design, digital marketing services, angular, search engine marketing, e-commerce, ppc campaigns, php, web design & development, seo services, smo, node.js, mobile app marketing, digital branding, ios development, information technology and services, mobile app development, ecommerce development, web development and design, wordpress development, social media design, ecommerce solutions, laravel, seo, brand building, react native, ecommerce platform development, flutter, monitoring and maintenance, digital strategy, website responsiveness, web and app security, ppc, content marketing, analytics and business intelligence, smo services, mobile app experience, business automation solutions, magento, brand strategy, app store optimization (aso), web hosting and support, custom software development, web application development, android development, app store optimization, pay-per-click (ppc) campaigns, social media marketing, website design, digital branding strategies, custom software solutions, b2b, d2c, consulting, services, retail, computer systems design and related services, marketing & advertising, software development, information technology & services, web development, search marketing, marketing, design, sem, consumer internet, consumers, internet, mobile, social media",,,90,2025-09-04,Premium marketing agency - information technology & services,Marketing Director/VP/Founder,High
Bayforce,bayforce.com,http://www.bayforce.com,http://www.linkedin.com/company/bayforce,information technology & services,computer software,91,12500000.0,12.5M,Tampa,Florida,United States,1996,,"sap, sap consulting, sap staffing, sap projects, sap hana, salesforce consulting, salesforce, sap upgrades, salesforce projects, salesforce support, salesforce application development, workday, it services & it consulting, cloud computing, sap support and rollout, nearshore development, oracle cloud, it strategy, cloud solutions, erp and cloud consulting, computer software, business transformation, cloud services, application development, erp solutions, cloud migration, it support, salesforce services, oracle, sap services, sap and cloud support, staffing, information technology and services, enterprise software, technology consulting, workday services, enterprise application, custom software development, cloud and erp integration, cloud infrastructure, cloud platform, erp, erp deployment, project management, salesforce lightning migration, sap s/4hana, it services, salesforce community cloud, it project delivery, digital marketing, salesforce implementation, it staffing, digital transformation, it consulting, staffing solutions, sap s/4hana migration, salesforce custom development, cyber security, salesforce ecosystem, technical consulting, it support services, system integration, cloud-based sap solutions, management consulting, it solutions, crm integration, nearshore sap development, data analytics, business technology, b2b, consulting, services, computer systems design and related services, customer relationship management, manufacturing, healthcare, financial services, automotive, government, education, information technology & services, enterprises, app development, apps, software development, staffing & recruiting, internet infrastructure, internet, productivity, marketing & advertising, computer & network security, crm, sales, mechanical or industrial engineering, health care, health, wellness & fitness, hospital & health care",,+1 877-642-4727,65,2025-09-04,Premium marketing agency - information technology & services,Marketing Director/VP/Founder,High
Ledger Bennett,ledgerbennett.com,http://www.ledgerbennett.com,http://www.linkedin.com/company/ledger-bennett-plc,marketing & advertising,,96,15000000.0,15M,London,,United Kingdom,1985,,"strategy & planning, content marketing, marketing automation, delivering comms campaigns globally, inbound marketing, demand generation, social media, community management, reporting & analytics, b2b marketing, abm, media, digital, seo, creative, digital pr, paid media, paid social, advertising services, media planning, campaign optimization, digital content syndication, multi-channel marketing, client partnership models, industry-recognized campaigns, growth marketing, digital marketing roi, creative strategy, multi-regional enterprise marketing, digital strategy, customer journey mapping, marketing tech stack, crm integration, campaign reporting, digital advertising, revenue growth, client retention tactics, integrated marketing solutions, award-winning b2b marketing, global enterprise clients, market segmentation, client roi, digital content personalization, customer advocacy programs, digital content, customer retention, performance marketing, marketing technology, industry innovation, omni-channel marketing, digital analytics, marketing and advertising, content personalization, sales enablement, audience data platforms, award-winning campaigns, enterprise demand generation, campaign management, b2b brand storytelling, performance marketing tools, b2b marketing innovation, digital branding, client-centric marketing, performance marketing automation, audience targeting, performance tracking, industry recognition, audience segmentation, dynamic creative, fluid talent model, b2b content marketing, b2b marketing leadership, digital advertising platforms, client roi optimization, client engagement, market research, digital marketing evolution, client success, digital marketing agility, digital transformation consulting, audience insights, digital customer experience, scalable marketing solutions, media buying strategies, information technology and services, client retention strategies, content strategy, content syndication, full-service agency, digital marketing scalability, social media marketing, digital customer journey, enterprise client solutions, client partnerships, integrated revenue teams, multichannel campaign execution, performance marketing analytics, digital transformation, performance analytics, lead generation, management consulting, brand storytelling, customer advocacy, digital engagement, b2b marketing best practices, scalable talent solutions, growth hacking for b2b, data science, abm (account-based marketing), data-driven marketing, demand generation strategy, market expansion strategies, market expansion, digital media buying, digital revenue team, customer-led marketing, customer data platforms, programmatic advertising, customer lifecycle, digital revenue engine, content creation, client engagement strategies, digital campaign management, talent solutions, demand creation tactics, b2b marketing trends, client acquisition, performance metrics, b2b, consulting, services, advertising agencies, customer engagement, digital marketing, marketing & advertising, saas, computer software, information technology & services, enterprise software, enterprises, marketing, consumer internet, consumers, internet, search marketing, digital media, sales",,+44 845 838 3883,67,2025-09-04,Premium marketing agency - marketing & advertising,Marketing Director/VP/Founder,High
Better Placed Ltd - A Sunday Times Top 10 Employer!,betterplaced.com,http://www.betterplaced.com,http://www.linkedin.com/company/better-placed-recruitment,staffing & recruiting,,37,10000000.0,10M,Manchester,England,United Kingdom,2001,,"permanent recruitment, interim recruitment, tech recruitment, digital marketing recruitment, ecommerce recruitment, fmcg recruitment, marketing recruitment, sales recruitment, supply chain recruitment, manufacturing recruitment, yorkshire, midlands, north west, london, leeds, manchester, liverpool, birmingham, nottingham, seo, ppc, social media, content, agency recruitment, recruitment consultancy, specialist recruitment consultancy, human resources, recruitment agency, specialist sectors, specialist recruiter, mid-level recruitment, recruitment innovation, tailored recruitment, talent sourcing, agency staffing solutions, client experience, client diversity, career progression support, market trends, client satisfaction, client partnership, client relationship building, industry-specific recruitment, recruitment strategy, digital marketing jobs, network of clients, regional offices, recruitment and staffing, industry sector expertise, talent acquisition, market expertise, industry connections, marketing roles, agency roles, career development, market knowledge, professional services, top employer, candidate screening, network of candidates, professional growth, industry partnerships, employee-owned business, sales roles, candidate assessment, uk recruitment, tech industry recruitment, recruitment awards, diversity and inclusion, market insights, candidate diversity, employee satisfaction, candidate relationship management, employee-owned, recruitment process, industry sector focus, inclusive workplace culture, workplace culture, client network, market-leading employer, candidate experience focus, candidate experience, executive recruitment uk, uk employment market, long-term talent partnerships, workplace excellence, sector specialization, uk market, sunday times top 10 employer, market analysis, interview support, long-term relationships, recruitment process optimization, candidate network, industry expertise, digital roles, recruitment solutions, candidate retention, diversity in recruitment, candidate sourcing, candidate pipeline, candidate care approach, employee engagement, regional recruitment offices, b2b recruitment, recruitment marketing, executive search, trustworthy recruiter, market-leading recruitment, client engagement, digital recruitment, tech roles, industry networks, employee ownership, candidate engagement, candidate onboarding, employee ownership model, career support, client solutions, entry-level recruitment, candidate matching, b2b, services, retail, employment placement agencies and executive search services, software development, analytics, recruitment, performance marketing, paid media, digital marketing, data analytics, consultancy, information technology & services, search marketing, marketing, marketing & advertising, consumer internet, consumers, internet, professional training & coaching, staffing & recruiting, consulting, management consulting",,+44 113 236 4040,72,2025-09-04,Premium marketing agency - staffing & recruiting,Marketing Director/VP/Founder,High
Cranberry Panda,cranberrypanda.co.uk,http://www.cranberrypanda.co.uk,http://www.linkedin.com/company/cranberry-panda,staffing & recruiting,,41,300000.0,300K,London,England,United Kingdom,2010,,"ecommerce recruitment, online trading, digital marketing, jobs, seo, display, email marketing, web analytics, ppc, digital design, paid social, merchandising, crm, content marketing, affiliate marketing, social media marketing, building ecommerce departments, product management, executive search, recruitment success, permanent recruitment, ecommerce growth strategies, market insights for recruiters, digital marketing talent, digital marketing roles, recruitment agency, digital content, recruitment services, growth strategy, industry knowledge, market insights, regional ecommerce markets, employer branding, industry-specific recruitment, ecommerce roles, performance marketing, talent acquisition, recruitment technology, recruitment process, contract recruitment, permanent staffing, uk recruitment, talent sourcing, digital marketing experts, candidate screening, digital sector hiring, london recruitment, digital sector, ecommerce jobs, europe recruitment, digital talent sourcing, contract staffing, candidate matching, ecommerce management, recruitment analytics, data-led recruitment, ecommerce executive search, ecommerce growth, ecommerce, regional recruitment expertise, web analytics experts, content marketers, ux/ui design, regional reach, ux/ui design recruitment, client relationships, candidate pipeline, employer support, candidate experience, digital talent, regional recruitment, digital transformation, talent pool, candidate experience enhancement, digital content creators, candidate engagement, enterprise clients, startups, us recruitment, digital marketing jobs, recruitment solutions, candidate care, ux/ui designers, ecommerce start-up talent, talent acquisition strategy, ecommerce talent, industry trends, performance marketing specialists, data-driven recruitment, web analytics specialists, online retail specialists, performance marketers, digital transformation hiring, start-up hiring, ecommerce platform talent, product managers, talent matching algorithms, online retail, industry insights, b2b, e-commerce, d2c, services, retail, employment placement agencies and executive search services, project management, content creation, data analytics, marketing & advertising, information technology & services, search marketing, marketing, sales, enterprise software, enterprises, computer software, consumer internet, consumers, internet, staffing & recruiting, productivity",,+44 800 242 5044,67,2025-09-04,Premium marketing agency - staffing & recruiting,Marketing Director/VP/Founder,High
MarketingProfs,marketingprofs.com,http://www.marketingprofs.com,http://www.linkedin.com/company/marketing-profs,marketing & advertising,,91,15400000.0,15.4M,Mount Pleasant,South Carolina,United States,2000,,"marketing training, advertising, social media, marketing, seo, digital marketing, research, webinars, conferences, b2b, marketing education, marketing consulting, positioning & messaging, marketing automation, content creation, demand generation consulting, enterprise marketing training, marketing workshops, free marketing content, free marketing events, artificial intelligence, marketing writing, b2b forum, b2b marketing, marketing strategy, email marketing, content marketing, content strategy, lead generation, marketing analytics, marketing roi, advertising services, small business marketing, marketing skills certification, content marketing automation, marketing certification programs, marketing automation training, online marketing courses, marketing automation tools, practical marketing courses, marketing skills development, enterprise marketing certification, b2b marketing training, marketing campaign management, marketing skills development programs, marketing webinars, digital marketing training, marketing community engagement, marketing industry events, enterprise training, marketing automation certification, digital learning solutions, marketing training platform, industry-specific marketing courses, small business marketing workshops, digital marketing skills, digital content delivery, marketing skills improvement, small business marketing training, content marketing strategy, marketing skills enhancement, marketing training for professionals, marketing professional growth, content marketing tools, practical marketing training, b2b marketing events, professional marketing development, marketing education platform, digital engagement tools, marketing community platform, webinar hosting, marketing technology, practical marketing skills, corporate marketing education, learning experience platform, content marketing strategy courses, industry-leading marketing conferences, marketing analytics courses, marketing skills assessment, marketing training for teams, enterprise marketing courses, digital marketing mastery, marketing content distribution, marketing conferences, content creation software, online course platform, lead generation training, marketing certification, professional marketing courses, marketing leadership development, marketing analytics tools, online community platform, marketing community, learning management system, industry events, online training software, marketing content management, marketing skills enhancement programs, online marketing bootcamps, marketing training programs, marketing webinars and events, marketing skills, marketing best practices, marketing professional development, content creation training, professional training & coaching, marketing content creation, marketing training for enterprises, marketing resources library, marketing knowledge base, customer engagement platform, marketing strategy courses, marketing education community, marketing data analytics, event management software, mobile app for learning, digital marketing mastery courses, industry-specific marketing resources, marketing strategy training, saas platform, mobile learning, marketing education services, digital marketing certification programs, content marketing certification, content marketing workshops, marketing skills upgrade, content marketing resources, online education platform, online marketing education, marketing resources, digital marketing tools, marketing performance metrics, marketing leadership, marketing leadership programs, services, professional and management development training, customer experience, social media marketing, demand generation, branding, public relations, event marketing, martech, market research, consumer internet, consumers, internet, information technology & services, search marketing, marketing & advertising, management consulting, saas, computer software, enterprise software, enterprises, sales, events, events services",,+1 866-557-9625,70,2025-09-04,Premium marketing agency - marketing & advertising,Marketing Director/VP/Founder,High
