"﻿""title""",totalScore,reviewsCount,street,city,state,countryCode,website,phone,categoryName,url,accessible,is_dynamic,emails_found,emails,check_status,scraped_content_length,ai_summary_status,business_type,services,owner_name,personalization_hooks,target_market,pain_points,ai_error
"Gabe's Heating and Air, LLC",5,49,1405 David Ln,Dalhart,Texas,US,https://www.gabesair.com/,(806) 333-9213,Air conditioning contractor,https://www.google.com/maps/search/?api=1&query=Gabe's%20Heating%20and%20Air%2C%20LLC&query_place_id=ChIJTRBTge491wIRMDf-YrMY--0,Yes,No,1,gabesheatingandair806@gmail.com,success,3567,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Coffee Landscape and Design LLC,4.8,45,7765 Longoria Rd #400,Amarillo,Texas,US,http://www.coffeelandscapedesign.com/,(806) 656-1296,Landscape designer,https://www.google.com/maps/search/?api=1&query=Coffee%20Landscape%20and%20Design%20LLC&query_place_id=ChIJcQUTe89dAYcRiS5e5JncALg,Yes,No,1,coffeelandscapeanddesign@gmail.com,success,2048,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Greenwood Landscaping,4.8,35,3140 9th St,Wichita Falls,Texas,US,https://www.greenwoodlandscaping.net/,(940) 636-9569,Landscaper,https://www.google.com/maps/search/?api=1&query=Greenwood%20Landscaping&query_place_id=ChIJLX5DWgAhU4YRVBc6O4G1HbM,Yes,No,1,greenwoodinc@mail.com,success,9824,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Lucas VIP Lawn Care LLC,5,5,6939 Quail Ridge Rd,Wichita Falls,Texas,US,https://lucasviplawncare.com/,(940) 704-7115,Lawn care service,https://www.google.com/maps/search/?api=1&query=Lucas%20VIP%20Lawn%20Care%20LLC&query_place_id=ChIJi28bdJ98tgQRcfTyGOFaPWo,Yes,No,1,lucasviplawns@gmail.com,success,3639,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Absolute Lawn Care,3.6,56,13490 FM 2590,Amarillo,Texas,US,http://www.absolutelawncareonline.com/,(806) 676-5199,Lawn care service,https://www.google.com/maps/search/?api=1&query=Absolute%20Lawn%20Care&query_place_id=ChIJy8RJF05FAYcRGrcJR4gpJeY,Yes,No,1,micah@absolutelawncareonline.com,success,706,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Superior Quality Lawn And Landscape,4.8,60,,,,,https://superiorqualitylandscaping.com/,(806) 626-2750,Landscaper,https://www.google.com/maps/search/?api=1&query=Superior%20Quality%20Lawn%20And%20Landscape&query_place_id=ChIJhdyCOEZOAYcRmXXzg9wZK_s,Yes,No,1,baldock6242@gmail.com,success,3785,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Voltage Tree & Lawn,5,165,2315 Buchanan St,Wichita Falls,Texas,US,https://voltagetreelawn.com/,(940) 642-1786,Lawn care service,https://www.google.com/maps/search/?api=1&query=Voltage%20Tree%20%26%20Lawn&query_place_id=ChIJ_eypS3ohU4YRH-6OdFiBukE,Yes,No,1,voltagetreelawn@gmail.com,success,3563,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Tactical Heating & Air,4.9,50,2405 SW 6th Ave,Amarillo,Texas,US,https://tacticalheatingandair.com/?utm_source=GBP&utm_medium=IGNITE&utm_campaign=LSEO&utm_id=Tactical,(806) 576-9259,Air conditioning repair service,https://www.google.com/maps/search/?api=1&query=Tactical%20Heating%20%26%20Air&query_place_id=ChIJ0U9pI-46DyMR3oHo9R60BvA,Yes,No,1,tacticalheatingandair@yahoo.com,success,4237,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Wichita Valley Landscape,4.7,60,5314 Southwest Pkwy,Wichita Falls,Texas,US,https://www.wv-landscape.com/,(940) 696-3082,Landscaper,https://www.google.com/maps/search/?api=1&query=Wichita%20Valley%20Landscape&query_place_id=ChIJz0qmQAEiU4YRVTaWfa1laBc,Yes,No,1,wvmail@aol.com,success,1465,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
C&K Lawn Mowing and landscaping,5,1,17392 Weatherby Ln,Canyon,Texas,US,https://cklawnl.wixsite.com/cklawnmowingandlands,(806) 647-7046,Lawn care service,https://www.google.com/maps/search/?api=1&query=C%26K%20Lawn%20Mowing%20and%20landscaping&query_place_id=ChIJExLNbNNdAYcR43_UrcIiPh8,Yes,No,2,cklawnl@gmail.com; usacklawnl@gmail.com,success,2557,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
FallsTown LLC,4.6,20,2209 10th St,Wichita Falls,Texas,US,http://fallstownllc.com/,(940) 642-4139,Lawn care service,https://www.google.com/maps/search/?api=1&query=FallsTown%20LLC&query_place_id=ChIJ_f1c4uwhU4YRXfKnAunpNng,Yes,No,1,fallstownllc@gmail.comgoogle,success,480,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
New Life Landscape,4.5,8,305 S Georgia St,Amarillo,Texas,US,http://sprinklerrepairamarillo.com/,(806) 373-5575,Landscaper,https://www.google.com/maps/search/?api=1&query=New%20Life%20Landscape&query_place_id=ChIJGbbQKwhPAYcRAXGu40eS_iA,Yes,No,1,nllc94@gmail.com,success,2215,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Allen Lawn Care,4.8,23,,,,,http://www.lawncare806.com/,(806) 679-8516,Lawn care service,https://www.google.com/maps/search/?api=1&query=Allen%20Lawn%20Care&query_place_id=ChIJs5CzyF5DAYcRanTxmhScT9c,Yes,No,3,service.mail@lawncare806.com; contactmail@lawncare806.com; mail@lawncare806.com,success,3729,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Orgrow Lawn Care,4.6,14,901 S Madison St,Amarillo,Texas,US,http://www.orgrowlawncare.com/,(806) 376-4769,Lawn care service,https://www.google.com/maps/search/?api=1&query=Orgrow%20Lawn%20Care&query_place_id=ChIJRfu6lVVOAYcRRgG2WFGI2eI,Yes,No,0,,success,306,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Custom Gardens,4.8,21,925 E Loop 335 S,Amarillo,Texas,US,http://www.customgardensamarillo.com/,(806) 354-9693,Landscape architect,https://www.google.com/maps/search/?api=1&query=Custom%20Gardens&query_place_id=ChIJlx50KrJFAYcR4WFZK4MxIpE,Yes,No,2,info@customgardensamarillo.com; info@customgardensamarillo.comconsultationwe,success,2789,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Juan’s landscaping and Irrigation,4.3,12,2214 Holliday Rd,Wichita Falls,Texas,US,http://www.juanslandirco.com/,(940) 631-6069,Landscaper,https://www.google.com/maps/search/?api=1&query=Juan%E2%80%99s%20landscaping%20and%20Irrigation&query_place_id=ChIJqaUan8YhU4YR4gHFAf837yA,Yes,No,2,jlmaldonadojr@gmail.com; jlmaldonadojr@gmail.comphone,success,3040,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Elite Lawn Care Amarillo,4.8,62,5344 Capulin Ln,Amarillo,Texas,US,http://www.elitelcamarillo.com/,(806) 676-1945,Landscaper,https://www.google.com/maps/search/?api=1&query=Elite%20Lawn%20Care%20Amarillo&query_place_id=ChIJ46uxhHC15G4RI3k3wIu6KIE,Yes,No,2,william@elitelcamarillo.com; txwilliam@elitelcamarillo.com,success,2534,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Anchored Lawncare LLC,5,5,1037 City View Dr F,Wichita Falls,Texas,US,https://www.anchoredlawncarellc.com/,(469) 579-8841,Lawn care service,https://www.google.com/maps/search/?api=1&query=Anchored%20Lawncare%20LLC&query_place_id=ChIJ9fxny54hU4YRyQsvjOUfFwY,Yes,No,1,cole@anchoredlawncarellc.com,success,922,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Curt's Lawn Service,5,136,,,,,http://www.curtslawnservice.com/,(940) 867-2477,Lawn care service,https://www.google.com/maps/search/?api=1&query=Curt's%20Lawn%20Service&query_place_id=ChIJOziuHOshU4YRFVU6uDAfkHk,Yes,No,0,,success,1114,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Trinity Air Conditioning - Main Office,5,683,1515 Archer City Hwy,Wichita Falls,Texas,US,http://trinityairconditioning.com/,(940) 761-1808,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Trinity%20Air%20Conditioning%20-%20Main%20Office&query_place_id=ChIJi9sXvvEfU4YRssKBK9o1TvQ,Yes,No,0,,success,15000,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
GreenSmith Lawncare Amarillo,5,5,6200 Susie Rd,Amarillo,Texas,US,https://sites.google.com/d/1-SJcZRlDnAe-PX4o-kQKo1bTQJktNPCW/p/1LobR2iFs2VCbMrkXQ-LEBqj_EqWyCPGa/edit,(806) 410-0603,Lawn care service,https://www.google.com/maps/search/?api=1&query=GreenSmith%20Lawncare%20Amarillo&query_place_id=ChIJpYn0eNXOZigReeKcGVHOQ24,Yes,No,0,,success,201,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Hall's Heating And Air,4.9,887,801 W Kingsmill Ave Ste. #2,Pampa,Texas,US,https://hallheatingandair.net/,(806) 203-6646,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Hall's%20Heating%20And%20Air&query_place_id=ChIJbxkZGgVJB4cRlENErKvWEY4,Yes,No,0,,success,7585,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Malcolm's Heating & Air,5,202,3416 Wendell Dr,North Richland Hills,Texas,US,https://www.malcolmsheatingandair.com/,(817) 333-7310,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Malcolm's%20Heating%20%26%20Air&query_place_id=ChIJE6DWTMV5ToYR3746Rw_AnWc,Yes,No,1,malcolmsair@gmail.com,success,5981,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Fort Worth Air Conditioning Co. Inc.,4.9,448,9105 White Settlement Rd,Fort Worth,Texas,US,https://fortworth-air.com/,(817) 367-6000,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Fort%20Worth%20Air%20Conditioning%20Co.%20Inc.&query_place_id=ChIJ0448j4QMToYRPa-ngQizuzA,Yes,No,1,service@fortworth-air.com,success,7922,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Spencer Air Conditioning & Heating,4.9,1228,2928 W Story Rd,Irving,Texas,US,https://spencerairconditioning.com/?utm_medium=organic&utm_source=google&utm_campaign=gbp,(972) 544-6921,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Spencer%20Air%20Conditioning%20%26%20Heating&query_place_id=ChIJoXhvJhOCToYRaOGtvXHJB3c,Yes,No,1,service@spencerairconditioning.com,success,2612,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Otis Air Conditioning and Refrigeration,4.9,506,5828 Ashleyanne Cir,Wichita Falls,Texas,US,http://www.otisrefrigeration.co/,(940) 692-6847,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Otis%20Air%20Conditioning%20and%20Refrigeration&query_place_id=ChIJTeHvFOQfU4YRBMEvUBsWH7o,Yes,No,2,customer_service@otisrefrigeration.co; shaney@otisrefrigeration.co,success,4209,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Dub's Heating and Air,5,337,501 Crandle Dr,White Settlement,Texas,US,http://www.dubsheatingandair.com/,(817) 845-1002,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Dub's%20Heating%20and%20Air&query_place_id=ChIJVUJAMgkMToYRjlP2UYPTqDc,Yes,No,2,845-1002dubsheatingandair@gmail.com; dubsheatingandair@gmail.com,success,3107,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Complete Lawn Service LLC,4.5,21,2304 Midwestern Pkwy #203,Wichita Falls,Texas,US,http://completelawnllc.com/,(940) 689-9397,Landscaper,https://www.google.com/maps/search/?api=1&query=Complete%20Lawn%20Service%20LLC&query_place_id=ChIJRyh5G5AhU4YRa0Y5zL2-K3g,Yes,No,1,stacie@completelawnllc.com,success,4401,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
5 Star HVAC Contractors,4.9,1098,3906 Melcer Dr #302,Rowlett,Texas,US,https://5starhvaccontractors.com/,(972) 848-9414,HVAC contractor,https://www.google.com/maps/search/?api=1&query=5%20Star%20HVAC%20Contractors&query_place_id=ChIJabmecnUCTIYRwKZWsPdz1aw,Yes,No,1,support@5starhvaccontractors.com,success,5761,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
ETR Air Conditioning & Heating,4.9,1411,4700 Old Troup Hwy,Tyler,Texas,US,https://www.etrhvac.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=4700_Old_Troup_Highway_Tyler,(903) 581-3771,HVAC contractor,https://www.google.com/maps/search/?api=1&query=ETR%20Air%20Conditioning%20%26%20Heating&query_place_id=ChIJq6qqqmrLSYYRU532gIOvsAQ,Yes,No,1,wecare@etrhvac.com,success,11539,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Snow Bear Heat and Air | Air Conditioning | Ac | furnace repair service,4.8,961,5410 Bell St #218,Amarillo,Texas,US,https://snowbearair.com/locations/tx/snow-bear-heat-air-amarillo/,(806) 367-9416,Air conditioning repair service,https://www.google.com/maps/search/?api=1&query=Snow%20Bear%20Heat%20and%20Air%20%7C%20Air%20Conditioning%20%7C%20Ac%20%7C%20furnace%20repair%20service&query_place_id=ChIJLw49DURPAYcRkRbjdSWotEQ,Yes,No,0,,success,7335,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Comfort Experts,4.8,1965,4255 Bryant Irvin Rd Ste 211,Fort Worth,Texas,US,https://comfortexpertsinc.com/?utm_source=GMB&utm_medium=organic&utm_campaign=fort_worth,(817) 678-1287,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Comfort%20Experts&query_place_id=ChIJLUsPKXltToYRjPG3CeeER2s,Yes,No,0,,success,8760,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Total Lawn Care,3.8,13,308 6th St,Wichita Falls,Texas,US,http://totallawncarewf.com/,(940) 691-4309,Lawn care service,https://www.google.com/maps/search/?api=1&query=Total%20Lawn%20Care&query_place_id=ChIJnY1rZhAfU4YRhJY6622zYZQ,Yes,No,0,,success,2130,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Matthew's HVAC Services Heating & Air Conditioning,4.9,144,7684 SW 81st Ave #200,Amarillo,Texas,US,https://matthewshvac.net/?utm_source=organic&utm_medium=gbp,(806) 681-0778,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Matthew's%20HVAC%20Services%20Heating%20%26%20Air%20Conditioning&query_place_id=ChIJpc3IYTVbAYcRNvryhPTsQLQ,Yes,No,0,,success,4036,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Smith's Lawn & Tree Service,5,30,1112 1/2 Covington St,Wichita Falls,Texas,US,https://smithslawnandtreeservice.com/,(940) 704-1536,Lawn care service,https://www.google.com/maps/search/?api=1&query=Smith's%20Lawn%20%26%20Tree%20Service&query_place_id=ChIJ24-FetIhU4YRlZt9v1MLQgA,Yes,No,0,,success,2648,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Amarillo Land Services,5,147,7525 Canyon Dr,Amarillo,Texas,US,https://www.amarillolandservices.com/,(806) 477-2605,Lawn sprinkler system contractor,https://www.google.com/maps/search/?api=1&query=Amarillo%20Land%20Services&query_place_id=ChIJv9ePtDRFAYcRhThjPzXk6r0,Yes,No,0,,success,5013,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Perm-O-Green,4.3,89,5018 Ditto Ln,Wichita Falls,Texas,US,https://www.permogreen.com/,(940) 488-4677,Landscaper,https://www.google.com/maps/search/?api=1&query=Perm-O-Green&query_place_id=ChIJKe3xzfsfU4YRp8GPUsYWbSo,Yes,No,0,,success,6854,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Metro Air Conditioning Heating & Services,4.8,315,126 W Illinois Ave,Dallas,Texas,US,https://www.metroacs.com/,(214) 304-7658,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Metro%20Air%20Conditioning%20Heating%20%26%20Services&query_place_id=ChIJW9MyXeOZToYR8gwWSwYY1rw,Yes,No,1,info@metroacs.com,success,9429,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
The Right Choice Heating and Air Inc,4.9,314,2414 W University Dr Suite 122 E,McKinney,Texas,US,https://therightchoicetexas.com/service-areas/ac-repair-mckinney/,(469) 447-9707,HVAC contractor,https://www.google.com/maps/search/?api=1&query=The%20Right%20Choice%20Heating%20and%20Air%20Inc&query_place_id=ChIJq7EeD8UTTIYRkRgQ3M6pGKE,Yes,No,1,support@therightchoicetexas.com,success,15000,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
The Right Choice Air Conditioning And Plumbing,4.8,1141,2290 Springlake Rd #103,Farmers Branch,Texas,US,https://therightchoicetexas.com/,(972) 914-0624,HVAC contractor,https://www.google.com/maps/search/?api=1&query=The%20Right%20Choice%20Air%20Conditioning%20And%20Plumbing&query_place_id=ChIJHRG67MQnTIYRY3QQitvZ7CA,Yes,No,1,support@therightchoicetexas.com,success,8617,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Captain Air Heating and Cooling,4.8,88,1202 Co Rd 2306,Canton,Texas,US,https://captainairtexas.com/,(903) 802-4022,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Captain%20Air%20Heating%20and%20Cooling&query_place_id=ChIJpSPBVgcRSYYRw4YCCfb68UI,Yes,No,1,captainair.office@gmail.com,success,3089,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Reeder Outdoor Living,3.6,34,11923 Coulter St S,Amarillo,Texas,US,https://reederlandscape.com/,(806) 356-6163,Landscape designer,https://www.google.com/maps/search/?api=1&query=Reeder%20Outdoor%20Living&query_place_id=ChIJ6VL82_ZOAYcRc3RzopvxaMQ,Yes,No,0,,success,8089,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
"A&R Plumbing, Heating, & Air Conditioning",4.6,127,87 N Fannin St,Amarillo,Texas,US,https://armechanical.com/,(806) 372-1572,Air conditioning contractor,https://www.google.com/maps/search/?api=1&query=A%26R%20Plumbing%2C%20Heating%2C%20%26%20Air%20Conditioning&query_place_id=ChIJU8VehkNOAYcR106FrUTQN10,Yes,No,0,,success,4857,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Grizzle Heating & Air,4.9,535,112 N 15th St,Canyon,Texas,US,https://www.grizzlehvac.com/?utm_source=organic&utm_medium=website-button&utm_id=google-business-profile,(806) 655-7676,Air conditioning repair service,https://www.google.com/maps/search/?api=1&query=Grizzle%20Heating%20%26%20Air&query_place_id=ChIJ7ZgozntdAYcRboporhiR8-k,Yes,No,0,,success,4990,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
"Xtreme Air Services - HVAC, Plumbing, & Electrical",4.8,2312,308 U.S. 80 Frontage Rd,Sunnyvale,Texas,US,https://xtremeairservices.com/,(972) 288-2263,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Xtreme%20Air%20Services%20-%20HVAC%2C%20Plumbing%2C%20%26%20Electrical&query_place_id=ChIJs0F2r4mvToYR5LclsG7cQHg,Yes,No,1,servicetoday@xtremeairservices.com,success,11923,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Absolute Comfort Heating and Air,4.2,15,3512 McNiel Ave,Wichita Falls,Texas,US,http://www.absolutecomforttxok.com/,(940) 636-5210,Air conditioning repair service,https://www.google.com/maps/search/?api=1&query=Absolute%20Comfort%20Heating%20and%20Air&query_place_id=ChIJ03fGrcEhU4YRrskqNVJEcX8,Yes,No,0,,success,2265,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Rescue Air and Plumbing,4.9,3593,9639 Greenville Ave,Dallas,Texas,US,https://www.rescueairtx.com/,(972) 201-3253,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Rescue%20Air%20and%20Plumbing&query_place_id=ChIJ4XFisXcfTIYRURj1cWa1MIk,Yes,No,1,info@rescueairtx.com,success,7315,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
"Gary's Heating and Air Conditioning, Inc.",4.9,1799,2505 SW 7th Ave,Amarillo,Texas,US,https://www.garys.com/,(806) 318-1337,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Gary's%20Heating%20and%20Air%20Conditioning%2C%20Inc.&query_place_id=ChIJz3Dw4kdOAYcRD-zE2puFFeQ,Yes,No,0,,success,8571,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
All-Star Heat & Air,4,80,2630 W Amarillo Blvd West,Amarillo,Texas,US,http://www.all-starheatair.com/,(806) 584-1679,Air conditioning repair service,https://www.google.com/maps/search/?api=1&query=All-Star%20Heat%20%26%20Air&query_place_id=ChIJpU1HNetPAYcRIIjvzlEiKKc,Yes,No,0,,success,4010,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
