city,country,country_code,email,facebook,google_business_categories,google_maps_url,instagram,linkedin,name,opening_date,phone_number,review_score,reviews_number,source_category,source_country,street,url
Port Kennedy WA 6172,,AU,info@dustman.com.au,https://www.facebook.com/dustman.com.au,hvac_contractor,https://www.google.com/maps?cid=12620553763607514300,NA,https://www.linkedin.com/company/dust-management-services,Dust Management Services Pty Ltd,,+61 1300 990 808,5,1,hvac_contractor,Australia,6 Beardsley St,http://www.dustman.com.au/
Murray Bridge SA 5253,,AU,admin@mhcool.com.au,https://www.facebook.com/murrayheatingandcoolingau/?_rdr,hvac_contractor,https://www.google.com/maps?cid=12360671771220126050,https://www.instagram.com/murrayheatingandcoolingau?fbclid=IwY2xjawF5s_FleHRuA2FlbQIxMAABHcA6CU4Zw5sNV7JNkoudeZfziBuBlQEOBSQls-A0vIqVWf1HkVhht1MgXQ_aem_-uDSA2oKF8fZX3axBkyhrQ,https://www.linkedin.com/company/murray-heating-&-cooling-australia/about/,Murray Heating & Cooling,,+61 8 8532 2973,3.7,39,hvac_contractor,Australia,35 Mary Terrace,http://www.murrayheatingandcooling.com.au/
Thornleigh NSW 2120,,AU,service@kaizenair.com.au,https://www.facebook.com/kaizenairconditioning/,hvac_contractor,https://www.google.com/maps?cid=1758849268361837962,https://www.instagram.com/kaizenairconditioning/,NA,Kaizen Air Conditioning,,+61 2 9980 9019,5,3,hvac_contractor,Australia,Unit 25/7 Sefton Rd,http://www.kaizenair.com.au/
North Geelong VIC 3215,,AU,salesteam@modcons.com.au,,hvac_contractor,https://www.google.com/maps?cid=9112983009755720245,,,Mod Cons Custom,,+61 1300 555 933,4.2,20,hvac_contractor,Australia,Unit 21/282 Thompson Rd,https://www.modcons.com.au/
Chatswood NSW 2067,,AU,sales@floline.com.au,NA,hvac_contractor,https://www.google.com/maps?cid=9201929944454934725,NA,NA,Floline Pty Ltd,,+61 2 8006 2639,,,hvac_contractor,Australia,Shop 212/75 Archer St,http://floline.com.au/
Wingfield SA 5013,,AU,enquiry@coldlogic.com.au,https://www.facebook.com/Cold-Logic-226044627424890/,hvac_contractor,https://www.google.com/maps?cid=13595708911695616958,NA,https://www.linkedin.com/company/cold-logic/,Cold Logic Pty Ltd,,+61 8 8240 3333,,,hvac_contractor,Australia,38/40 Wingfield Rd,http://www.coldlogic.com.au/
Carrum Downs VIC 3201,,AU,robert@coollogic.com.au,https://www.facebook.com/Coollogichvac/,hvac_contractor,https://www.google.com/maps?cid=6976385583270080536,,,Cool Logic,,+61 3 9775 0125,,,hvac_contractor,Australia,71 Frankston Gardens Dr,http://coollogic.com.au/
Chipping Norton NSW 2170,,AU,service@tvhs.com.au,https://www.facebook.com/totalventilationhygiene,hvac_contractor,https://www.google.com/maps?cid=14738023529882397083,NA,https://www.linkedin.com/company/total-ventilation-hygiene,Total Ventilation Hygiene Services,,+61 1300 557 999,3.2,9,hvac_contractor,Australia,Unit 1/25-33 Alfred Rd,http://www.tvhs.com.au/
Wentworthville NSW 2145,,AU,info@boseair.com.au,NA,hvac_contractor,https://www.google.com/maps?cid=7437441686473252934,NA,NA,Bose Air Pty Ltd,,+61 405 013 247,,,hvac_contractor,Australia,Unit 15/36-38 Darcy Rd,http://boseair.com.au/
Unit 4/30 Stubbs St,Silverwater NSW 2128,AU,mail@riteflo.com.au,NA,hvac_contractor,https://www.google.com/maps?cid=3824732504972013549,NA,NA,RiteFlo,,+61 2 9981 2210,4.9,28,hvac_contractor,Australia,20,https://www.riteflo.com.au/?utm_source=gmb&utm_medium=organic&utm_campaign=GMB
Wantirna South VIC 3152,,AU,hello@ductsaddles.com.au,NA,hvac_contractor,https://www.google.com/maps?cid=12436534351087044868,NA,NA,DUCT SADDLE STRAPPING SYSTEM,,+61 1300 030 387,,,hvac_contractor,Australia,Knox City Shopping Centre 4425,http://ductsaddles.com.au/
Ground Floor/130 Bundall Rd,Bundall QLD 4217,AU,mail@de-air.com.au,https://www.facebook.com/de.aircon/,hvac_contractor,https://www.google.com/maps?cid=381266366457922151,https://www.instagram.com/de.aircon/,https://www.linkedin.com/company/707620/,D&E Air Conditioning Pty Limited (Gold Coast),,+61 7 3175 4999,,,hvac_contractor,Australia,Suite 1,https://www.de-air.com.au/
Carrum Downs VIC 3201,,AU,enquiries@elitemechsolutions.com.au,https://www.facebook.com/Elitemechsolutions/,hvac_contractor,https://www.google.com/maps?cid=895809272318748824,https://www.instagram.com/elite_mech_solutions/,,Elite Mechanical Solutions Pty Ltd,,+61 3 9775 1700,4,4,hvac_contractor,Australia,Unit 2/12 Network Dr,https://elitemechsolutions.com.au/
Kingaroy QLD 4610,,AU,info@kingaroyref.com.au,https://www.facebook.com/KINGAROYREF/,hvac_contractor,https://www.google.com/maps?cid=6788674733824992955,https://www.instagram.com/kingaroy_refrigeration/,,Kingaroy Refrigeration & Air-Conditioning,,+61 7 4162 4707,4,25,hvac_contractor,Australia,135 Youngman St,http://www.kingaroyref.com.au/
Lane Cove West NSW 2066,,AU,info@pacman.com.au,NA,hvac_contractor,https://www.google.com/maps?cid=6867522613715825656,NA,NA,Pacman Air,,+61 2 9540 1155,,,hvac_contractor,Australia,Unit 8/1 Chaplin Dr,http://pacmanair.com.au/
Hallam VIC 3803,,AU,Accounts@chalcotheating.com.au,NA,hvac_contractor,https://www.google.com/maps?cid=6985263495565955524,NA,NA,Chalcot Heating & Air Conditioning (Vic),,+61 3 9796 5929,4.4,38,hvac_contractor,Australia,17-23 Keppel Dr,https://chalcotheating.com.au/
Southern River WA 6110,,AU,webmaster@cracs.com.au,NA,hvac_contractor,https://www.google.com/maps?cid=6857122592154632022,NA,NA,CR & ACS,,+61 423 953 241,5,169,hvac_contractor,Australia,27 Millstream Dr,http://cracs.com.au/
Chelsea Heights VIC 3196,,AU,vitogiarratana@bigpond.com,NA,hvac_contractor,https://www.google.com/maps?cid=13602359150180023297,NA,NA,V&G Refrigeration Services Pty Ltd,,+61 3 9776 1375,5,36,hvac_contractor,Australia,Factory 5/271 Wells Rd,http://vgrefrigeration.com.au/
Box Hill North VIC 3129,,AU,info@cortrols.com.au,NA,hvac_contractor,https://www.google.com/maps?cid=18087004093414521196,NA,NA,Cortrols Temperature Systems,,+61 3 9890 8544,5,5,hvac_contractor,Australia,Factory 8/58 Lexton Rd,http://cortrols.com.au/
Coolaroo VIC 3048,,AU,info@ecoassetsmanager.com.au,,hvac_contractor,https://www.google.com/maps?cid=6135234702827402106,,,ECO ASSETS MANAGER,,+61 3 9939 3036,,,hvac_contractor,Australia,36 Zakwell Ct,https://www.ecoassetsmanager.com.au/
Regency Park SA 5010,,AU,info@ttrefrig.net.au,NA,hvac_contractor,https://www.google.com/maps?cid=10994886328369881140,NA,NA,Tri Tech Refrigeration SA,,+61 8 8243 0931,,,hvac_contractor,Australia,U14/10-12 Opala St,http://ttrefrig.com.au/
Milperra NSW 2214,,AU,service@linkmechanical.com.au,,hvac_contractor,https://www.google.com/maps?cid=15334997017908532314,,,Link Mechanical Solutions Pty Ltd,,+61 1300 681 747,,,hvac_contractor,Australia,2/211 Beaconsfield St,https://www.linkmechanical.com.au/
Ingleburn NSW 2565,,AU,acsalesonline@aircond-dc.com,https://www.facebook.com/messages/t/111255121638424,hvac_contractor,https://www.google.com/maps?cid=3654940071553438579,NA,NA,Aircond Design & Construct Pty Ltd,,+61 2 8712 2725,4.9,12,hvac_contractor,Australia,6/79 Williamson Rd,https://livinggreenstar.com.au/
