city,country,country_code,email,facebook,google_business_categories,google_maps_url,instagram,linkedin,name,opening_date,phone_number,review_score,reviews_number,source_category,source_country,street,url
Forrestdale WA 6112,,AU,service@wacomm.com.au,,electrical_installation_service|electrical_engineer|electrical_equipment_supplier|electrician,https://www.google.com/maps?cid=3043143436971943634,,,WACOMM Electrical Services,,+61 8 9201 9901,5,1,electrician,Australia,Unit 2/4 Weedon Rd,https://wacomm.com.au/
Wangara WA 6065,,AU,admin@lockieselectrical.com.au,https://www.facebook.com/Lockieselectricalservices/,electrical_installation_service|electrical_engineer|electrical_repair_shop|electrical_supply_store|electrician,https://www.google.com/maps?cid=11236433560562472851,,https://www.linkedin.com/company/79812159/,Lockie's Electrical Services,,+61 410 872 744,5,5,electrician,Australia,70 Windsor Rd,https://www.lockieselectrical.com.au/
Balmoral QLD 4170,,AU,contact@contactelec.com.au,,electrical_installation_service|electrical_engineer|electrical_repair_shop|electrician,https://www.google.com/maps?cid=17198829221495802841,,,Contact Electrical Service,,+61 7 3395 6917,5,1,electrician,Australia,Unit 4/160 Lytton Rd,http://contactelec.com.au/
Linthorpe QLD 4356,,AU,info@qldelectricalsolutions.com.au,https://www.facebook.com/qldelectrical,electrical_installation_service|electrical_engineer|electrical_repair_shop|electrician,https://www.google.com/maps?cid=4291851909078369888,,,Queensland Electrical Solutions,,+61 409 717 846,5,8,electrician,Australia,542 Linthorpe Rd,http://qldelectricalsolutions.com.au/
Loganholme QLD 4129,,AU,info@ce.group,https://www.facebook.com/cegroupelectrical,electrical_installation_service|electrical_engineer|electrician,https://www.google.com/maps?cid=6628877977450801425,,https://www.linkedin.com/company/complexelectrical/,Complex Electrical (CE Group),,+61 7 3290 4333,4.5,8,electrician,Australia,79 Chetwynd St,http://ce.group/
Thornleigh NSW 2120,,AU,macaya@macaya.com.au,,electrical_installation_service|electrical_engineer|electrician,https://www.google.com/maps?cid=5847859680527098945,,,Macaya Electrical Services,,+61 2 9482 3200,,,electrician,Australia,Unit 1/1-5 Chilvers Rd,http://www.macaya.com.au/
Wacol QLD 4076,,AU,jpr@jpr.com.au,,electrical_installation_service|electrical_engineer|electrician|engineer,https://www.google.com/maps?cid=11875751703889541069,,,J & P RICHARDSON,,+61 7 3271 2911,4,20,electrician,Australia,114 Campbell Ave,http://www.jpr.com.au/
Davistown NSW 2251,,AU,scott@srbelectrical.com,,electrical_installation_service|electrical_engineer|electrician|lighting_contractor,https://www.google.com/maps?cid=603555210764743337,,,SRB Electrical Contracting PTY Ltd.,,+61 410 576 508,5,3,electrician,Australia,31 Restella Ave,http://srbelectrical.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb
Malaga WA 6090,,AU,admin@cablewise.com.au,https://www.facebook.com/cablewiseperth,electrical_installation_service|electrical_engineer|electrician|manufacturer|property_maintenance|telecommunications_contractor,https://www.google.com/maps?cid=11230043101497791208,,https://www.linkedin.com/company/cablewise-electrical-and-communications-pty-ltd/?originalSubdomain=au,Cablewise Electrical & Communications,,+61 8 9249 9299,5,1,electrician,Australia,7 Exhibition Dr,https://cablewise.com.au/
Maroochydore QLD 4558,,AU,booking@brockyselectrical.com.au,https://facebook.com/brockyselectrical,electrical_installation_service|electrical_equipment_supplier|electrical_repair_shop|electrical_supply_store|electrician|lighting_store,https://www.google.com/maps?cid=1743524951775742542,https://www.instagram.com/brockystv/,,Brocky's Electrical,,+61 1800 522 622,5,33,electrician,Australia,Shop 6/12 Newspaper Pl,http://www.brockyselectrical.com.au/
Banyo QLD 4014,,AU,dean@thermographicsolutions.com,,electrical_installation_service|electrical_repair_shop|electrician|thermal_energy_company,https://www.google.com/maps?cid=276297840799576542,,,Thermographic Solutions,,+61 459 731 313,,,electrician,Australia,Unit 11/67 Depot St,https://thermographicsolutions.com/
Robertson NSW 2577,,AU,barry@westcottelectrical.com.au,,electrical_installation_service|electrician,https://www.google.com/maps?cid=15767000873501808637,,,Barry Westcott Electrical and Maintenance,,+61 400 296 654,5,7,electrician,Australia,4 Barrengarry St,http://westcottelectrical.com.au/
Oatley NSW 2223,,AU,chris@ecoelectricsolutions.com.au,https://www.facebook.com/ecoelectricsolutions/,electrical_installation_service|electrician,https://www.google.com/maps?cid=11087383889679997534,https://www.instagram.com/ecoelectricsolutions/,,Eco Electric Solutions,,+61 468 686 231,5,54,electrician,Australia,49 Letitia St,https://www.ecoelectricsolutions.com.au/
Mount Cotton QLD 4165,,AU,michaelfoote@bigpond.com,https://www.facebook.com/michaelfooteelectrical/,electrical_installation_service|electrician,https://www.google.com/maps?cid=18260963427486886509,,,Michael Foote Electrical,,+61 418 736 986,5,1,electrician,Australia,497 W Mount Cotton Rd,http://mfelectrical.com.au/
Revesby NSW 2212,,AU,info@powertranz.com.au,https://www.facebook.com/profile.php?id=100091348901914,electrical_installation_service|electrician,https://www.google.com/maps?cid=8440923440309296808,https://www.instagram.com/powertranz/,,Powertranz Electrical & Refrigeration Pty Ltd,,+61 1300 263 565,5,9,electrician,Australia,Unit 8/7 Daisy St,http://www.powertranz.com.au/
Penrith NSW 2750,,AU,info@kennect.com.au,,electrical_installation_service|electrician,https://www.google.com/maps?cid=13374103242032368633,,,Kennect Electrical Services,,,4.7,38,electrician,Australia,31 Coombes Dr,https://www.kennectelectrical.com.au/
Alexandria NSW 2015,,AU,info@spireelectrical.com.au,,electrical_installation_service|electrician,https://www.google.com/maps?cid=9035490005215806508,,,Spire Electrical Services Pty ltd,,+61 450 653 714,5,1,electrician,Australia,45/51 Huntley St,http://www.spireelectrical.com.au/
Katoomba NSW 2780,,AU,ngelectrical@outlook.com.au,,electrical_installation_service|electrician,https://www.google.com/maps?cid=9732781777621090233,https://www.instagram.com/ngelectrics,,N G Electrics,,+61 412 155 778,5,81,electrician,Australia,100 Victoria St,http://www.ngelectrics.com.au/
Mount Kuring-gai NSW 2080,,AU,info@lyontechnics.com.au,,electrical_installation_service|electrician,https://www.google.com/maps?cid=14260838857991302715,,https://linkedin.com,Lyon Technics Pty Ltd,,+61 1300 523 955,5,7,electrician,Australia,3/15 Hamley Rd,http://www.lyontechnics.com.au/
Ravenhall VIC 3023,,AU,info@3wireselectrical.com.au,https://www.facebook.com/people/3-Wires-Electrical/100063580002148/,electrical_installation_service|electrician,https://www.google.com/maps?cid=6005453461297892039,,,3 Wires Electrical,,+61 1300 394 737,3,4,electrician,Australia,4/18 Katherine Dr,http://3wireselectrical.com.au/
Sunshine West VIC 3020,,AU,david.aladinelectrical@gmail.com,https://www.facebook.com/aladinelectrical/,electrical_installation_service|electrician,https://www.google.com/maps?cid=8010848982162442688,,,Aladin Electrical,,+61 403 691 969,,,electrician,Australia,1 Oldfield St,http://aladinelectrical.com.au/
West Hoxton NSW 2171,,AU,sparkynearyou@gmail.com,https://www.facebook.com/sparkynearyou,electrical_installation_service|electrician,https://www.google.com/maps?cid=13154128756689257986,https://www.instagram.com/sparkynearyou/,,Sparky Near You,,+61 410 272 936,,,electrician,Australia,1 Bronte Cl,https://sparkynearyou.com.au/
Lobethal SA 5241,,AU,travelling12v@gmail.com,https://www.facebook.com/profile.php?id=61550250354937&mibextid=2JQ9oc,electrical_installation_service|electrician,https://www.google.com/maps?cid=8123840556633177156,,,Travelling 12 volt,,+61 424 705 237,5,1,electrician,Australia,77 Main St,https://www.facebook.com/profile.php?id=61550250354937&mibextid=2JQ9oc
Canning Vale WA 6155,,AU,admin@pearmans.com.au,https://www.facebook.com/profile.php?id=100076548120004,electrical_installation_service|electrician,https://www.google.com/maps?cid=10860282460591824690,https://www.instagram.com/pearmanselectrical/,https://www.linkedin.com/company/pearmans-electrical-services/,Pearman's Electrical Services,,+61 8 9314 2877,5,1,electrician,Australia,1/30 Canvale Rd,https://www.pearmanselectrical.com.au/?utm_source=GMBlisting&utm_medium=organic
Redbank QLD 4301,,AU,shocksafe@live.com.au,http://www.facebook.com/wix,electrical_installation_service|electrician,https://www.google.com/maps?cid=2274484109790799864,,,Shocksafe Electrical,,+61 411 969 479,4.7,11,electrician,Australia,21 Henderson St,http://www.shocksafeelectrical.com.au/
Cromer NSW 2099,,AU,office@ascentenergy.com.au,https://www.facebook.com/350534791472604,electrical_installation_service|electrician,https://www.google.com/maps?cid=10522042688678477791,https://www.instagram.com/ascent.energy/,https://www.linkedin.com/company/ascentenergy,Ascent Energy Pty Ltd,,+61 2 9984 7412,5,2,electrician,Australia,5/93-99 S Creek Rd,http://www.ascentenergy.com.au/
Southport QLD 4215,,AU,info@fullerelectrical.com.au,,electrical_installation_service|electrician,https://www.google.com/maps?cid=1797626500651426313,https://www.instagram.com/tame_built/,,Fuller Electrical,,,4.9,72,electrician,Australia,5/1 Nesbit St,https://www.fullerelectrical.com.au/
Coodanup WA 6210,,AU,info@dalectrix.com.au,,electrical_installation_service|electrician,https://www.google.com/maps?cid=1347083061022287441,,,Dalectrix Electricial Services,,+61 427 869 509,4.9,48,electrician,Australia,32 Roy Rd,http://www.dalectrix.com.au/
O'Connor WA 6163,,AU,sales@servcore.com.au,,electrical_installation_service|electrician,https://www.google.com/maps?cid=17167617400588059687,,https://www.linkedin.com/company/ara-security,HT Caravans,,+61 8 9321 2515,5,1,electrician,Australia,91 Forsyth St,http://www.leadercabling.com.au/
Wangara WA 6065,,AU,info@stileselectrical.com.au,https://www.facebook.com/Stileselectrical/,electrical_installation_service|electrician,https://www.google.com/maps?cid=16084227189405706317,https://www.instagram.com/stileselectrical/,https://www.linkedin.com/company/stiles-electrical-services/,Stiles Electrical Services,,+61 8 9300 0696,4.7,14,electrician,Australia,33 Lancaster Rd,http://www.stileselectrical.com.au/
The Gap QLD 4825,,AU,mikkelect@bigpond.com,https://www.facebook.com/pages/Mikkelsen-Electrical-Contractors/393634964775182,electrical_installation_service|electrician,https://www.google.com/maps?cid=1913235438894024248,,,Mikkelsen Electrical Contractors,,+61 7 4743 4474,,,electrician,Australia,18 Mullan St,https://www.mikkelsenelectricalcontractors.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb
North Geelong VIC 3215,,AU,info@epsco.com.au,https://facebook.com,electrical_installation_service|electrician,https://www.google.com/maps?cid=6950002122083889026,https://instagram.com,http://linkedin.com,EPS - Energy Power Solution Pty Ltd,,+61 3 5278 7067,,,electrician,Australia,13 Rodney Rd,http://www.epsco.com.au/
12 Wharf St,Murwillumbah NSW 2484,AU,admin@larkinelectrical.com.au,,electrical_installation_service|electrician|elevator_service|lighting_store|vacuum_cleaning_system_supplier,https://www.google.com/maps?cid=14018852786561002445,,,Larkin Lighting and Electrical,,+61 2 6672 1737,4.1,16,electrician,Australia,Main St,http://www.larkinelectrical.com.au/
Dundas Valley NSW 2117,,AU,optimumsolutions2020@gmail.com,http://www.facebook.com/wix,electrical_installation_service|electrician|energy_advisory_service|machine_maintenance,https://www.google.com/maps?cid=5085480433429787907,https://instagram.com/wix/,,Opsol Pty Ltd,,,5,10,electrician,Australia,148-152 Marsden Rd,http://www.op-sol.com.au/
Strathpine QLD 4501,,AU,info@atticmonkey.com.au,,electrical_installation_service|electrician|establishment_service,https://www.google.com/maps?cid=9709451470892463717,,,Attic Monkey Electrical,,+61 451 793 554,5,7,electrician,Australia,,https://atticmonkey.com.au/
Port Augusta West SA 5700,,AU,lachlan@footners.com.au,,electrical_installation_service|electrician|establishment_service,https://www.google.com/maps?cid=6159823645009572671,,,Footner Electrical and Civil Services,,+61 487 656 080,5,3,electrician,Australia,,http://footners.com.au/
Holmesville NSW 2284,,AU,info@yourdomain.com,https://www.facebook.com/electriciannewcastle,electrical_installation_service|electrician|establishment_service,https://www.google.com/maps?cid=800850293536155558,,,Dinnen Electrical,,+61 419 241 637,5,7,electrician,Australia,,http://www.dinnenelectrical.com.au/
Greenvale VIC 3059,,AU,info@alwayssafeelectrical.com.au,https://www.facebook.com/Always-Safe-Electrical-340898959302926/?hc_ref=SEARCH&fref=nf,electrical_installation_service|electrician|establishment_service,https://www.google.com/maps?cid=6943991380038344811,,,Always Safe Electrical,,+61 1300 214 439,5,16,electrician,Australia,,http://www.alwayssafeelectrical.com.au/
Heatherton VIC 3202,,AU,info@futureproofpower.com.au,,electrical_installation_service|electrician|establishment_service,https://www.google.com/maps?cid=13281093213125298945,,,FutureProof Power,,+61 1800 431 623,5,11,electrician,Australia,,https://futureproofpower.com.au/
Kenwick WA 6107,,AU,justiceelectrical@bigpond.com,https://www.facebook.com/JusticeElectricalAndCommunications,electrical_installation_service|electrician|establishment_service,https://www.google.com/maps?cid=2357256375988234551,,,Justice Electrical and Communications EC10315,,+61 477 904 930,4.4,7,electrician,Australia,,http://justiceelectrical.com.au/
Mount Druitt NSW 2760,,AU,rubixelectricalgroup@gmail.com,https://www.facebook.com/rubixeg/,electrical_installation_service|electrician|establishment_service,https://www.google.com/maps?cid=2638100670149076161,https://www.instagram.com/rubixeg/,,Rubix Electrical Group,,+61 414 783 177,5,9,electrician,Australia,,http://rubixelectricalgroup.au/
Kenwick WA 6107,,AU,info@pmesolar.com.au,https://www.facebook.com/pmesolar,electrical_installation_service|electrician|establishment_service,https://www.google.com/maps?cid=17576067666661466598,,,Power Motive Electrical/ PME Solar,,+61 428 146 868,5,42,electrician,Australia,,https://pmesolar.com.au/
Northmead NSW 2153,,AU,info@mccanncp.com.au,https://www.facebook.com/profile.php?id=100082064020132,electrical_installation_service|electrician|establishment_service,https://www.google.com/maps?cid=3606382306446710062,https://www.instagram.com/mccannconstruction/,https://www.linkedin.com/company/mccannconstruction/,Aktiv Electrical,,+61 400 818 595,5,6,electrician,Australia,,http://mccanncp.com.au/
Singleton NSW 2330,,AU,info.gstoneelectrical@gmail.com,,electrical_installation_service|electrician|establishment_service,https://www.google.com/maps?cid=5665560041786947267,,,G Stone Electrical,,+61 412 295 280,5,11,electrician,Australia,,https://gstoneelectrical.com/
Holbrook NSW 3709,,AU,ezyelectricalmelb@outlook.com,https://www.facebook.com/wix,electrical_installation_service|electrician|establishment_service,https://www.google.com/maps?cid=6386521602301314680,https://www.instagram.com/wix,,Ezy Electrical,,+61 422 111 157,5,17,electrician,Australia,,https://ezyelectrical.wixsite.com/melb
Port Stephens NSW 2425,,AU,wardelec@outlook.com,https://www.facebook.com/people/Ward-Electrical-Contracting/100084165998483/,electrical_installation_service|electrician|establishment_service|general_contractor,https://www.google.com/maps?cid=6880502147069288812,https://www.instagram.com/localsearch/?utm_source=localsearch_online&utm_medium=footer&utm_campaign=instagram,,Ward Electrical Contracting,,+61 413 076 032,5,3,electrician,Australia,,https://www.localsearch.com.au/profile/ward-electrical-contracting/port-macquarie-nsw/YPYY/?utm_source=google&utm_medium=organic&utm_campaign=gmb
Belair SA 5052,,AU,admin@wiredupelectricalco.com,https://www.facebook.com/244860255382963,electrical_installation_service|electrician|establishment_service|lighting_contractor,https://www.google.com/maps?cid=11929072573525938133,https://www.instagram.com/wiredup.electrical/?hl=en,,Wired Up Electrical Co,,+61 449 091 886,5,34,electrician,Australia,,https://wiredupelectricalco.com/
Childers QLD 4671,,AU,john@jcpower.com.au,,electrical_installation_service|electrician|establishment_service|lighting_contractor,https://www.google.com/maps?cid=10781238177366931596,,http://linkedin.com/,JC Power & Electrical Services,,+61 439 325 428,5,1,electrician,Australia,,https://www.jcpower.com.au/
Bulleen VIC 3105,,AU,admin@grechcomelectrical.com,https://www.facebook.com/Grechcomelectrical/,electrical_installation_service|electrician|establishment_service|security_system_installer,https://www.google.com/maps?cid=17439748376455495904,https://www.instagram.com/grechcomelectrical/,,GRECHCOM Electrical & Security Solutions,,+61 1300 473 242,5,16,electrician,Australia,,https://www.grechcom.com.au/
Meadowbrook QLD 4131,,AU,info@connectservices.com.au,,electrical_installation_service|electrician|fiber_optic_products_supplier|security_system_installer|security_system_supplier|telecommunications_contractor|telecommunications_equipment_supplier,https://www.google.com/maps?cid=7349023050104095628,,https://www.linkedin.com/company/connect-services-pty-ltd,Connect Services,,+61 1300 885 161,5,12,electrician,Australia,Unit 36/20-22 Ellerslie Rd,https://www.connectservices.com.au/
Level 1/293 High St,Preston VIC 3072,AU,service@goldsure.com.au,,electrical_installation_service|electrician|fire_alarm_supplier|hot_water_system_supplier|plumber,https://www.google.com/maps?cid=9820499050127110510,,,Goldsure Pty Ltd,,+61 3 7050 2846,4.8,19,electrician,Australia,Suite 4,https://www.goldsure.com.au/
